P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
BD-06 1339 b,non-habitable,8.58,8.58,1.91,456.218,456.218,456.2181,
BD-06 1339 c,non-habitable,54.05,54.05,6.46,4.416532,4.416533,4.416533,
BD-06 1339 d,non-habitable,28.93,28.93,5.26,0.687699,0.7443822,0.8070599,
BD-08 2823 b,non-habitable,14.31,14.31,4.16,48.40723,64.74268,88.59536,
BD-08 2823 c,non-habitable,104.92,104.92,7.9,0.3066077,0.4421722,0.6616632,
BD-10 3166 b,non-habitable,102.14,146.25,11.54,1032.665,1054.302,1076.52,
BD-11 4672 b,non-habitable,168.51,168.51,8.97,0.01697623,0.01873883,0.02073728,
BD-17 63 b,non-habitable,1621.49,1621.49,11.68,0.04955057,0.1395716,0.5551637,
beta Cir b,non-habitable,17804.64,17804.64,9.03,3.33E-07,3.33E-07,3.33E-07,
beta Cnc b,non-habitable,2479.93,2479.93,11.65,161.7154,189.2173,222.8388,
beta Pic b,non-habitable,,2225.58,18.48,0.0319353,0.05904876,0.1219288,
beta Umi b,non-habitable,1939.43,1939.43,11.68,165.7544,239.0416,357.7002,
CD-35 2722 b,non-habitable,9856.14,9856.14,10.24,9.92E-06,9.92E-06,9.92E-06,
CFBDS 1458 b,non-habitable,3338.37,3338.37,11.54,6.40E-06,6.40E-06,6.40E-06,
CFBDSIR J2149-0403 b,non-habitable,6676.74,6676.74,10.87,             ,             ,             ,
CHXR 73 b,non-habitable,3815.28,3815.28,11.46,5.14E-07,5.14E-07,5.14E-07,
CI Tau b,non-habitable,3913.84,3913.84,11.44,66.35128,66.3513,66.3513,
CoRoT-1 b,non-habitable,,327.48,16.69,2695.746,2695.746,2695.747,
CoRoT-2 b,non-habitable,,1052.38,16.41,893.0377,893.0377,893.0378,
CoRoT-3 b,non-habitable,,6921.55,11.31,1059.134,1059.134,1059.134,
CoRoT-4 b,non-habitable,,228.92,13.33,215.0617,215.0617,215.0617,
CoRoT-5 b,non-habitable,,148.48,14.9,601.0048,716.9039,862.208,
CoRoT-6 b,non-habitable,,941.1,13.06,146.5983,178.2612,218.9724,
CoRoT-7 b,non-habitable,0.17,4.74,1.52,1458.282,1842.386,2361.921,
CoRoT-7 c,non-habitable,13.56,13.56,4.08,203.8838,257.5857,330.2225,
CoRoT-8 b,non-habitable,,68.62,6.37,89.25754,89.25756,89.25758,
CoRoT-9 b,non-habitable,,267.07,10.53,3.732832,4.834177,6.373951,
CoRoT-10 b,non-habitable,,874.34,10.86,14.26106,39.35395,151.0733,
CoRoT-11 b,non-habitable,,740.8,16.02,1418.954,1418.954,1418.955,
CoRoT-12 b,non-habitable,,291.55,16.13,627.7047,720.3788,830.861,
CoRoT-13 b,non-habitable,,415.87,9.91,439.5413,439.5414,439.5414,
CoRoT-14 b,non-habitable,,2416.34,12.21,2390.243,2390.243,2390.243,
CoRoT-15 b,non-habitable,,20157.4,12.54,1405.497,1405.497,1405.497,
CoRoT-16 b,non-habitable,,170.1,13.1,191.6928,359.1192,755.1809,
CoRoT-17 b,non-habitable,,772.59,11.42,1158.59,1158.59,1158.59,
CoRoT-18 b,non-habitable,,1103.25,14.67,774.1521,905.8071,1066.758,
CoRoT-19 b,non-habitable,,352.91,14.45,1142.335,1253.567,1378.737,
CoRoT-20 b,non-habitable,,1348.07,9.41,45.7464,134.8913,581.5852,
CoRoT-21 b,non-habitable,,718.54,14.56,2884.188,2884.188,2884.189,
CoRoT-22 b,non-habitable,,12.2,4.88,146.7318,170.6929,199.7656,
CoRoT-23 b,non-habitable,,890.23,12.1,920.5709,1254.713,1755.312,
CoRoT-24 b,non-habitable,,5.72,3.7,127.0373,127.0374,127.0374,
CoRoT-24 c,non-habitable,,27.98,4.93,41.48158,41.48158,41.48159,
CoRoT-25 b,non-habitable,57.44,85.84,12.1,506.1459,506.1459,506.1459,
CoRoT-26 b,non-habitable,162.82,165.33,14.11,1014.546,1014.546,1014.546,
CoRoT-27 b,non-habitable,3303.36,3303.4,11.28,493.468,560.8555,640.1892,
CoRoT-28 b,non-habitable,,153.88,10.7,524.0601,575.0889,632.5123,
CoRoT-29 b,non-habitable,,270.25,10.08,312.4405,366.9896,434.0136,
CoRoT-30 b,non-habitable,902.93,902.95,11.42,106.5673,108.0663,109.5926,
CoRoT-31 b,non-habitable,,267.07,16.35,965.3325,1004.513,1045.723,
CoRoT-32 b,non-habitable,,47.69,6.38,141.0992,141.0992,141.0992,
CoRoT-33 b,non-habitable,,18822.05,12.32,153.9553,176.6853,203.7829,
CT Cha b,non-habitable,,5404.98,24.64,1.59E-06,1.59E-06,1.59E-06,
CVSO 30 b,non-habitable,,1971.23,21.39,4829.673,4829.673,4829.674,
DE0823-49 b,non-habitable,10015.11,10015.11,10.21,0.000766566,0.001519336,0.003460603,
DH Tau b,non-habitable,3497.34,3497.34,11.52,2.15E-07,2.15E-07,2.15E-07,
DP Leo b,non-habitable,1923.54,1923.54,11.68,0.001749531,0.00366993,0.009081735,
DW Lyn b,non-habitable,1774.11,1774.11,11.68,             ,             ,             ,
DW Uma b,non-habitable,3198.48,3198.48,11.57,0.03693274,0.03693274,0.03693275,
EPC 212069861 b,non-habitable,,3.57,2.65,2.646324,2.646324,2.646325,
EPIC-206011691 b,non-habitable,,4.31,1.59,16.15,16.15,16.15,
EPIC-206011691 c,non-habitable,,8.68,1.92,8.198086,8.198087,8.198089,
EPIC-210490365 b,non-habitable,,7.97,3.43,5.537086,9.273277,16.75521,
EPIC 201128338 b,non-habitable,,4.29,2.81,2.859792,2.859792,2.859793,
EPIC 201295312 b,non-habitable,,12.05,2.74,456.1121,576.2495,738.7465,
EPIC 201445392 c,non-habitable,,22.64,2.41,251.9139,251.914,251.914,
EPIC 201498078 b,non-habitable,,70.9,9.52,114.8808,240.9814,596.3408,
EPIC 201598502 b,non-habitable,,10.17,1.99,0.1165529,0.1165529,0.1165529,
EPIC 201637175 b,non-habitable,,445.12,2.8,809.9706,809.9708,809.9709,
EPIC 201713348 b,non-habitable,,2.23,1.32,547.1144,547.1145,547.1146,
EPIC 201713348 c,non-habitable,,4.24,2.8,93.7765,93.7765,93.77653,
EPIC 203826436 b,non-habitable,,4.54,1.61,213.6169,213.617,213.617,
EPIC 203826436 c,non-habitable,,3.97,2.74,130.448,130.448,130.448,
