P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
HD 189567 b,non-habitable,10.05,10.05,3.7,55.74715,86.64706,142.2229,
HD 189733 b,non-habitable,,363.09,12.75,329.9253,332.6377,335.3793,
HD 190228 b,non-habitable,20888.66,20888.66,,0.6528059,1.695472,5.873281,
HD 190360 b,non-habitable,475.32,475.32,10.91,0.04546377,0.08727432,0.1899219,
HD 190360 c,non-habitable,20.29,20.29,4.67,62.74874,77.33188,96.41733,
HD 190647 b,non-habitable,604.09,604.09,11.21,0.3314062,0.4690404,0.6861676,
HD 190984 b,non-habitable,985.61,985.61,11.58,0.03622713,0.1086402,0.482767,
HD 191806 b,non-habitable,2708.85,2708.85,11.63,0.1359383,0.2230397,0.3923439,
HD 192263 b,non-habitable,233.05,233.05,9.67,12.87384,13.08095,13.29236,
HD 192699 b,non-habitable,794.85,794.85,11.45,6.774081,9.042929,12.34737,
HD 195019 b,non-habitable,1176.38,1176.38,11.64,96.74156,99.47765,102.3126,
HD 195689 b,non-habitable,,,,             ,             ,             ,
HD 196050 b,non-habitable,899.77,899.77,11.53,0.199029,0.2979926,0.4668281,
HD 196067 b,non-habitable,2193.79,2193.79,11.67,0.09624048,0.3528933,2.293201,
HD 196885 A b,non-habitable,947.46,947.46,11.56,0.3137796,0.7832034,2.54097,
HD 197037 b,non-habitable,251.17,251.17,9.82,0.2584916,0.3943306,0.6322634,
HD 200964 b,non-habitable,588.19,588.19,11.18,4.255389,4.606136,4.993978,
HD 200964 c,non-habitable,284.56,284.56,10.06,2.224691,3.154539,4.625245,
HD 202206 Bb,non-habitable,29759.18,29759.18,,0.7225224,1.642333,4.591015,
HD 202206 c,non-habitable,5691.13,5691.13,11.08,0.1180556,0.1800946,0.2887608,
HD 203030 b,non-habitable,3497.34,3497.34,11.52,2.62E-06,2.62E-06,2.62E-06,
HD 204313 b,non-habitable,1360.78,1360.78,11.67,0.1035709,0.1246415,0.1513665,
HD 204313 c,non-habitable,17.58,17.58,4.45,21.17759,28.5932,39.56111,
HD 204313 d,non-habitable,534.14,534.14,11.06,0.04919233,0.08393659,0.1554378,
HD 204941 b,non-habitable,84.57,84.57,7.42,0.02471611,0.04991995,0.1168482,
HD 205739 b,non-habitable,435.58,435.58,10.79,1.783577,2.987059,5.397101,
HD 206610 b,non-habitable,699.47,699.47,11.35,4.42029,6.857574,11.2296,
HD 206893 b,non-habitable,7153.65,7153.65,10.77,0.0253107,0.0253107,0.02531071,
HD 207832 b,non-habitable,178.05,178.05,9.09,1.866498,2.403452,3.148442,
HD 207832 c,non-habitable,232.1,232.1,9.66,0.107642,0.1802742,0.3257245,
HD 208487 b,non-habitable,131.31,131.31,8.41,3.851024,5.765876,9.032685,
HD 208527 b,non-habitable,3147.61,3147.61,11.57,120.7402,141.2737,166.3763,
HD 208897 b,non-habitable,445.12,445.12,10.82,9.83504,11.28708,13.01815,
HD 209458 b,non-habitable,155.12,219.38,15.46,780.7867,793.6642,806.815,
HD 210277 b,non-habitable,391.07,391.07,10.62,0.3879209,0.9531224,3.014051,
HD 210702 b,non-habitable,604.09,604.09,11.21,7.694341,10.32987,14.19799,
HD 211847 b,non-habitable,6104.45,6104.45,10.99,0.004296912,0.01674152,0.1229016,
HD 212301 b,non-habitable,,127.18,11.98,1301.21,1339.872,1380.001,
HD 212771 b,non-habitable,731.26,731.26,11.39,8.397401,10.42849,13.11372,
HD 213240 b,non-habitable,1430.73,1430.73,11.68,0.2970514,0.6991461,2.063985,
HD 214823 b,non-habitable,6104.45,6104.45,10.99,0.164525,0.2217161,0.3060867,
HD 215152 b,non-habitable,2,2,1.28,46.3732,91.394,206.4856,
HD 215152 c,non-habitable,1.53,1.53,1.18,46.16142,63.27396,89.11,
HD 215152 d,non-habitable,2.71,2.71,1.4,20.61895,38.84552,82.33148,
HD 215152 e,non-habitable,3.47,3.47,1.5,8.672673,12.11387,17.4451,
HD 215456 b,non-habitable,32.11,32.11,5.45,4.985784,6.66828,9.125027,
HD 215456 c,non-habitable,78.21,78.21,7.25,0.1718381,0.2478152,0.3708288,
HD 215497 b,non-habitable,6.36,6.36,1.77,166.6687,227.1649,317.7979,
HD 215497 c,non-habitable,104.92,104.92,7.9,0.1358003,0.3457417,1.158748,
HD 216435 b,non-habitable,400.6,400.6,10.66,0.5290915,0.6072065,0.7003317,
HD 216437 b,non-habitable,578.65,578.65,11.16,0.1223213,0.2126474,0.4037072,
HD 216536 b,non-habitable,467.37,467.37,10.89,91.94646,189.2513,455.3962,
HD 216770 b,non-habitable,206.66,206.66,9.41,1.714062,3.461947,8.103421,
HD 217107 b,non-habitable,422.86,422.86,10.74,157.9633,204.1809,268.6325,
HD 217107 c,non-habitable,791.67,791.67,11.45,0.01688109,0.04536867,0.166467,
HD 217786 b,non-habitable,4133.22,4133.22,11.4,0.1651754,0.3531331,0.8990295,
HD 218566 b,non-habitable,66.77,66.77,6.9,0.4487418,0.7948087,1.547341,
HD 219077 b,non-habitable,3303.4,3303.4,11.55,0.02207391,0.1083436,1.306712,
HD 219134 b,non-habitable,,3.82,1.6,178.8694,178.8694,178.8694,
HD 219134 c,non-habitable,3.5,3.5,1.5,63.02404,63.02405,63.02406,
HD 219134 d,non-habitable,21.3,21.3,4.75,4.791145,4.791146,4.791146,
HD 219134 e,non-habitable,63.59,63.59,6.8,0.02250569,0.04296035,0.09274767,
HD 219134 g,non-habitable,10.81,10.81,3.79,1.879808,1.879808,1.879809,
HD 219134 h,non-habitable,89.02,89.02,7.53,0.01503039,0.03035738,0.07105786,
HD 219415 b,non-habitable,317.94,317.94,10.27,0.3977169,0.3977169,0.397717,
HD 219828 b,non-habitable,21.02,21.02,4.73,1375.154,1544.814,1741.565,
HD 219828 c,non-habitable,4800.89,4800.89,11.27,0.02679334,0.1500071,2.482059,
HD 220074 b,non-habitable,3529.13,3529.13,11.51,159.5369,209.3706,280.2982,
HD 220689 b,non-habitable,337.02,337.02,10.37,0.08894786,0.1212335,0.1696026,
HD 220773 b,non-habitable,461.01,461.01,10.87,0.05048148,0.1337679,0.4792324,
HD 220842 b,non-habitable,1011.05,1011.05,11.59,1.847941,3.980994,10.25189,
HD 221287 b,non-habitable,982.43,982.43,11.58,0.9168034,1.072718,1.263327,
HD 221585 b,non-habitable,511.88,511.88,11.01,0.2990596,0.3799966,0.4903092,
HD 222076 b,non-habitable,495.99,495.99,10.97,2.100431,2.457637,2.894329,
HD 222155 b,non-habitable,604.09,604.09,11.21,0.07898127,0.1076493,0.1505987,
HD 222582 b,non-habitable,2464.03,2464.04,11.66,0.2249588,0.9718142,8.847733,
HD 224538 b,non-habitable,1898.1,1898.1,11.68,0.1998715,0.4834402,1.490613,
HD 224693 b,non-habitable,225.74,225.74,9.6,57.54436,63.51907,70.29321,
HD 231701 b,non-habitable,343.38,343.38,10.41,7.198297,8.686065,10.57976,
HD 233604 b,non-habitable,2090.46,2090.46,11.68,91.29533,100.7743,111.5216,
HD 238914 b,non-habitable,1907.64,1907.64,11.68,0.9515114,2.793942,11.95641,
HD 240210 b,non-habitable,2193.79,2193.79,11.67,4.033018,5.393996,7.381268,
HD 240237 b,non-habitable,1685.08,1685.08,11.68,46.97815,100.4359,255.6963,
HD 283668 b,non-habitable,16978,16978,9.14,0.007897769,0.02403933,0.1097304,
HD 283869 b,mesoplanet,,9.49,1.96,1.146929,1.146929,1.146929,
HD 284149 b,non-habitable,10174.08,10174.08,10.18,8.25E-06,8.25E-06,8.25E-06,
HD 285507 b,non-habitable,291.55,291.55,10.11,25.32943,29.98212,35.75674,
HD 286123 b,non-habitable,,126.54,11.2,101.3552,165.9878,291.2794,
HD 290327 b,non-habitable,807.57,807.57,11.46,0.06212756,0.07269318,0.08560986,
HD 330075 b,non-habitable,,197.12,11.87,250.7227,260.2281,270.1933,
HII 1348 b,non-habitable,18758.46,18758.46,8.92,6.37E-06,6.37E-06,6.37E-06,
HIP 5158 b,non-habitable,457.83,457.83,10.86,0.0880556,0.2480306,0.9865733,
HIP 5158 c,non-habitable,4781.82,4781.82,11.27,0.002146286,0.00281671,0.003770914,
HIP 8541 b,non-habitable,1777.28,1777.28,11.68,2.480329,3.380621,4.729402,
HIP 11915 b,non-habitable,314.76,314.76,10.25,0.03793859,0.04613274,0.0566685,
HIP 12961 b,non-habitable,111.28,111.28,8.04,4.233634,5.770329,8.072544,
HIP 14810 b,non-habitable,1233.61,1233.61,11.65,129.8896,171.3372,230.7377,
HIP 14810 c,non-habitable,406.96,406.96,10.69,2.018176,2.771558,3.911927,
HIP 14810 d,non-habitable,181.23,181.23,9.13,0.1652499,0.2308188,0.3324005,
HIP 41378 b,non-habitable,,4.8,2.91,158.9225,158.9225,158.9225,
HIP 41378 c,non-habitable,,3.15,2.55,61.59932,61.59933,61.59934,
HIP 41378 d,non-habitable,,12.3,3.95,7.29595,7.295951,7.295953,
HIP 41378 e,non-habitable,,33.25,5.51,9.287947,9.287947,9.287949,
HIP 41378 f,non-habitable,,304.86,10.19,2.776865,2.776865,2.776865,
HIP 57050 b,non-habitable,94.75,94.75,7.67,0.322121,0.5856614,1.181563,
HIP 57050 c,non-habitable,21639,21639,,0.009926346,0.01901932,0.04127919,
HIP 57274 b,non-habitable,11.45,11.45,3.86,27.85807,39.94968,59.37484,
HIP 57274 c,non-habitable,130.36,130.36,8.4,5.505311,6.076915,6.725002,
HIP 57274 d,non-habitable,167.55,167.55,8.96,0.1169021,0.1957827,0.3537457,
HIP 63242 b,non-habitable,2918.69,2918.69,11.61,59.271,92.1241,151.213,
HIP 64892 b,non-habitable,10492.02,10492.02,10.13,0.001330255,0.001330256,0.001330256,
HIP 65407 b,non-habitable,136.08,136.08,8.49,1.163613,1.527084,2.044408,
HIP 65407 c,non-habitable,249.26,249.26,9.8,0.3782227,0.4778444,0.6125922,
HIP 65426 b,non-habitable,,2861.46,16.8,0.002028009,0.002028009,0.002028009,
HIP 65891 b,non-habitable,1907.64,1907.64,11.68,4.435613,5.711648,7.482067,
HIP 67537 b,non-habitable,3529.13,3529.13,11.51,0.6729686,2.106387,10.11717,
HIP 67851 b,non-habitable,438.76,438.76,10.8,67.00851,73.96586,81.85412,
HIP 67851 c,non-habitable,1901.28,1901.28,11.68,0.7826515,1.087039,1.554965,
HIP 68468 b,non-habitable,3.5,3.5,1.5,691.3159,1506.447,3947.15,
HIP 68468 c,non-habitable,29.89,29.89,5.32,2.541348,2.750816,2.982438,
HIP 70849 b,non-habitable,2861.46,2861.46,11.61,0.000160084,0.000512078,0.002560369,
HIP 73990 b,non-habitable,6676.74,6676.74,10.87,0.02012611,0.02012612,0.02012612,
HIP 73990 c,non-habitable,6994.68,6994.68,10.81,0.007861765,0.007861765,0.007861766,
HIP 74865 b,non-habitable,8902.32,8902.32,10.42,0.00503431,0.005034311,0.005034311,
HIP 74890 b,non-habitable,763.06,763.06,11.42,3.273641,3.75696,4.333153,
HIP 75458 b,non-habitable,2985.46,2985.46,11.6,12.03494,50.35955,428.5611,
HIP 77900 b,non-habitable,6358.8,6358.8,10.94,             ,             ,             ,
HIP 78530 b,non-habitable,7325.34,7325.34,10.74,0.00082342,0.00082342,0.00082342,
HIP 79431 b,non-habitable,667.67,667.67,11.31,0.06777022,0.117814,0.2236677,
HIP 91258 b,non-habitable,339.56,339.56,10.39,178.7119,187.4425,196.7177,
HIP 97233 b,non-habitable,6358.8,6358.8,10.94,0.9643193,3.153316,16.42773,
HIP 105854 b,non-habitable,2607.11,2607.11,11.64,52.61272,54.74815,56.99417,
HIP 107773 b,non-habitable,629.52,629.52,11.25,117.2166,139.8209,168.1602,
HIP 109384 b,non-habitable,495.99,495.99,10.97,0.1254003,0.3598588,1.478745,
HIP 109600 b,non-habitable,852.08,852.08,11.5,0.9618065,1.318358,1.856671,
HIP 116454 b,non-habitable,11.8,11.83,2.53,22.12554,32.81836,50.82289,
HN Peg b,non-habitable,,5087.04,12.32,1.86E-06,1.86E-06,1.86E-06,
HR 810 b,non-habitable,718.54,718.54,11.37,3.444151,4.703153,6.594199,
HR 2562 b,non-habitable,9538.2,9538.2,10.3,0.007886088,0.007886088,0.007886089,
HR 3549 b,non-habitable,14307.3,14307.3,9.5,0.004809538,0.00480954,0.00480954,
HR 7329 b,non-habitable,11127.9,11127.9,10.01,             ,             ,             ,
HR 8799 b,non-habitable,,2225.58,13.44,0.001264662,0.001264662,0.001264663,
HR 8799 c,non-habitable,,3179.4,14.56,0.003177444,0.003177444,0.003177444,
HR 8799 d,non-habitable,,3179.4,13.44,0.006630089,0.008062086,0.0099033,
HR 8799 e,non-habitable,2861.46,2861.46,11.61,0.02781355,0.02781355,0.02781356,
HU Aqr(AB) c,non-habitable,1875.85,1875.85,11.68,0.01573772,0.02735898,0.05194052,
HW Vir(AB) b,non-habitable,4546.54,4546.54,11.32,0.00358586,0.007666311,0.0195174,
J1324+63 b,non-habitable,,3656.31,13.78,             ,             ,             ,
J1433 b,non-habitable,18154.38,18154.37,8.99,60825.99,60826,60826,
K2-3 b,non-habitable,,14.66,2.18,10.73361,10.73361,10.73361,
K2-3 c,non-habitable,,7.59,1.85,3.243119,3.24312,3.243121,
K2-3 d,non-habitable,,11.1,1.53,1.335845,1.460192,1.599422,
K2-4 b,non-habitable,,21.07,2.37,16.59993,16.59993,16.59993,
K2-5 b,non-habitable,,8.59,1.91,24.56894,24.56894,24.56894,
K2-5 c,non-habitable,,17.1,2.26,10.39209,10.39209,10.3921,
K2-6 b,non-habitable,,26.93,2.5,26.88211,26.88211,26.88212,
K2-7 b,non-habitable,,3.64,2.67,27.89093,27.89093,27.89094,
K2-8 b,non-habitable,,9.1,3.58,37.71564,37.71564,37.71565,
K2-8 c,non-habitable,,22.72,2.41,97.64405,97.64406,97.64407,
K2-10 b,non-habitable,,27,3.84,26.71542,48.21055,96.27265,
K2-11 b,non-habitable,,89.63,7.55,407.0052,407.0052,407.0052,
K2-12 b,non-habitable,,19.53,2.33,161.0259,161.0259,161.026,
K2-13 b,non-habitable,,8.24,1.89,12.87534,12.87535,12.87535,
K2-14 b,non-habitable,,22.12,4.81,9.525291,9.525291,9.525293,
K2-15 b,non-habitable,,25.93,2.48,34.72425,34.72426,34.72426,
K2-16 b,non-habitable,,10.72,2.02,44.41935,44.41935,44.41936,
K2-16 c,non-habitable,,3.09,2.54,13.08339,13.08339,13.08339,
K2-17 b,non-habitable,,16.14,2.23,9.612109,9.61211,9.612112,
K2-18 b,mesoplanet,,16.46,2.24,0.924324,0.924324,0.9243242,
K2-18 c,non-habitable,7.5,7.5,1.84,2.696779,6.600012,20.73903,
K2-19 b,non-habitable,,97.56,7.74,105.3471,105.3471,105.3471,
K2-19 c,non-habitable,,22.81,4.86,61.18535,61.18537,61.18537,
K2-19 d,non-habitable,,1.35,1.14,487.4937,487.4939,487.494,
K2-21 b,non-habitable,,4.31,1.59,16.15,16.15,16.15,
K2-21 c,non-habitable,,8.77,1.92,8.198086,8.198087,8.198089,
K2-22 b,non-habitable,,444.96,2.5,809.9706,809.9708,809.9709,
K2-24 b,non-habitable,,39.44,5.83,60.09621,60.09621,60.09623,
K2-24 c,non-habitable,,114.42,8.1,23.40294,23.40294,23.40294,
K2-25 b,non-habitable,,7.99,3.43,5.400071,9.04381,16.34061,
K2-26 b,non-habitable,,3.64,2.67,5.380342,5.380342,5.380343,
K2-27 b,non-habitable,,29.1,4.45,85.04795,115.9181,162.1664,
K2-28 b,non-habitable,,19.17,2.32,17.58092,17.58092,17.58093,
K2-29 b,non-habitable,,232.02,13.34,270.6469,308.204,352.5304,
K2-30 b,non-habitable,,184.02,11.65,234.1726,234.1726,234.1727,
K2-31 b,non-habitable,590.1,590.1,11.18,1451.222,1451.222,1451.222,
K2-32 b,non-habitable,,30.94,5.38,83.00776,83.00777,83.00777,
K2-32 c,non-habitable,,8.35,3.48,27.37494,27.37495,27.37495,
K2-32 d,non-habitable,,10.48,3.75,15.44777,15.44777,15.44777,
K2-33 b,non-habitable,,1175.97,5.04,62.65442,62.65443,62.65444,
K2-34 b,non-habitable,,559.38,15.13,1520.664,1520.664,1520.664,
K2-35 b,non-habitable,,2.73,1.4,217.8905,217.8905,217.8905,
K2-35 c,non-habitable,,12.31,2.09,70.14229,70.1423,70.1423,
K2-36 b,non-habitable,,2.22,1.32,545.9712,545.9713,545.9714,
K2-36 c,non-habitable,,4.24,2.8,93.76472,93.76473,93.76473,
K2-37 b,non-habitable,,4.51,1.61,213.1267,213.1267,213.1268,
K2-37 c,non-habitable,,4,2.75,130.1141,130.1141,130.1141,
K2-37 d,non-habitable,,3.91,2.73,45.74343,45.74343,45.74344,
K2-38 b,non-habitable,,12,1.55,465.7567,465.7567,465.7568,
K2-38 c,non-habitable,,9.9,2.42,128.3235,128.3235,128.3235,
K2-39 b,non-habitable,,50.3,8.2,1994.367,1994.367,1994.367,
K2-42 b,non-habitable,,13.84,2.15,43.71326,43.71327,43.71328,
K2-43 b,non-habitable,,14.02,4.13,49.00959,49.0096,49.00961,
K2-44 b,non-habitable,,3.86,2.72,645.6241,645.6243,645.6243,
K2-45 b,non-habitable,,60.99,6.71,102.6183,102.6183,102.6183,
K2-46 b,non-habitable,,11.38,2.05,119.7229,119.7229,119.7229,
K2-47 b,non-habitable,,8.24,1.89,10.68332,10.68332,10.68332,
K2-48 b,non-habitable,,16.46,2.24,15.24638,15.24638,15.24638,
K2-49 b,non-habitable,,8.95,1.93,57.81276,57.81276,57.81277,
K2-50 b,non-habitable,,4.31,1.59,19.12419,19.12419,19.1242,
K2-51 b,non-habitable,,,12.9,126.1521,126.1522,126.1522,
K2-52 b,non-habitable,,550.17,11.1,1182.487,1182.487,1182.487,
K2-53 b,non-habitable,,26.93,2.5,52.55707,52.55709,52.55709,
K2-54 b,non-habitable,,1.39,1.15,5.98731,5.98731,5.987311,
K2-55 b,non-habitable,,11.08,3.82,115.5306,115.5306,115.5306,
K2-57 b,non-habitable,,12.55,2.1,23.95402,23.95402,23.95402,
K2-58 b,non-habitable,,3.68,2.68,118.967,118.967,118.9671,
K2-58 c,non-habitable,,4.61,1.62,465.0533,465.0533,465.0534,
K2-58 d,non-habitable,,5.63,1.71,24.75527,24.75527,24.75527,
K2-59 b,non-habitable,,22.72,2.41,17.02875,17.02875,17.02875,
K2-59 c,non-habitable,,18.45,2.3,38.11737,38.11738,38.11738,
K2-60 b,non-habitable,,261.74,9.9,1212.688,1212.688,1212.688,
K2-61 b,non-habitable,,25.93,2.48,1693.661,1693.661,1693.661,
K2-62 b,non-habitable,,13.57,2.14,67.03484,67.03485,67.03486,
K2-62 c,non-habitable,,13.57,2.14,20.57458,20.57459,20.57459,
K2-63 b,non-habitable,,6.57,3.22,189.2784,189.2785,189.2785,
K2-64 b,non-habitable,,11.84,2.07,99.35426,99.35427,99.35429,
K2-65 b,non-habitable,,4.21,1.58,45.46983,45.46984,45.46984,
K2-66 b,non-habitable,,26.43,2.49,897.5314,897.5314,897.5316,
K2-67 b,non-habitable,,,17.4,55.60337,55.60338,55.60339,
K2-68 b,non-habitable,,4.21,1.58,41.99059,41.9906,41.9906,
K2-69 b,non-habitable,,19.17,2.32,17.89142,17.89142,17.89143,
K2-70 b,non-habitable,,4.68,2.89,62.69163,62.69164,62.69164,
K2-71 b,non-habitable,,13.84,2.15,13.67247,13.67247,13.67247,
K2-72 b,non-habitable,,2.05,1.29,10.32291,10.32291,10.32291,
K2-72 c,non-habitable,,3.17,1.46,2.714836,2.714837,2.714837,
K2-72 d,non-habitable,,1.84,1.25,6.646127,6.646128,6.646129,
K2-72 e,mesoplanet,,2.73,1.4,1.461332,1.461332,1.461333,
K2-73 b,non-habitable,,24.51,2.45,213.5892,213.5892,213.5892,
K2-74 b,non-habitable,,18.8,2.31,59.12028,59.12028,59.1203,
K2-75 b,non-habitable,,3.64,2.67,429.8587,429.8588,429.8589,
K2-75 c,non-habitable,,4.09,2.77,138.112,138.112,138.112,
K2-76 b,non-habitable,,550.17,11.1,62.25727,62.25728,62.25729,
K2-77 b,non-habitable,,25.45,2.47,84.24393,84.24393,84.24394,
K2-78 b,non-habitable,,2.87,1.42,695.7012,695.7014,695.7015,
K2-79 b,non-habitable,,9.98,3.69,186.0895,186.0896,186.0896,
K2-80 b,non-habitable,,10.51,2.01,32.65696,32.65696,32.65696,
K2-80 c,non-habitable,,3.24,1.47,167.5524,167.5524,167.5524,
K2-81 b,non-habitable,,7.13,1.82,44.7308,44.7308,44.7308,
K2-82 b,non-habitable,,3.34,2.6,2.294977,2.294977,2.294977,
K2-83 b,non-habitable,,1.81,1.24,40.72011,40.72012,40.72012,
K2-83 c,non-habitable,,3.35,1.48,7.274356,7.274358,7.274359,
K2-84 b,non-habitable,,22.72,2.41,179.0692,179.0693,179.0693,
K2-84 c,non-habitable,,10.94,2.03,25.33377,25.33377,25.33377,
K2-85 b,non-habitable,,0.9,1.01,485.4239,485.4239,485.424,
K2-86 b,non-habitable,,9.51,1.96,78.939,78.93901,78.93903,
K2-87 b,non-habitable,,19.36,4.6,86.36775,86.36777,86.36778,
K2-88 b,non-habitable,,1.74,1.23,7.975144,7.975145,7.975147,
K2-89 b,non-habitable,,0.18,0.61,79.77581,79.77581,79.77582,
K2-90 b,non-habitable,,11.16,2.04,7.351604,7.351605,7.351606,
K2-90 c,non-habitable,,0.93,1.02,58.59444,58.59445,58.59446,
K2-91 b,non-habitable,,1.19,1.1,45.0103,45.01031,45.01032,
K2-92 b,non-habitable,,3.17,2.56,9634.166,9634.168,9634.169,
K2-95 b,non-habitable,375.45,530.96,3.7,4.093838,5.579791,7.805985,
K2-97 b,non-habitable,,349.73,14.67,250.6387,250.6387,250.6387,
K2-99 b,non-habitable,,308.4,14.45,310.1003,447.2092,669.2005,
K2-105 b,non-habitable,,29.89,3.58,109.5953,109.5953,109.5953,
K2-106 b,non-habitable,,8.36,1.52,5248.438,5248.438,5248.438,
K2-106 c,non-habitable,,5.72,2.46,46.0119,65.12082,95.2664,
K2-108 b,non-habitable,,59.45,5.28,539.7325,763.8855,1117.502,
K2-110 b,non-habitable,11.51,16.69,2.59,23.67868,27.65208,32.49744,
K2-136 b,non-habitable,,0.83,0.99,26.51716,32.24446,39.60843,
K2-136 c,non-habitable,,5.22,2.99,8.943918,11.5169,15.08676,
K2-136 d,non-habitable,,,16.24,5.221033,6.851899,9.173088,
K2-137 b,non-habitable,,222.56,0.88,774.7744,774.7745,774.7745,
K2-138 b,non-habitable,,4.09,1.57,485.8883,485.8884,485.8884,
K2-138 c,non-habitable,,3.02,2.52,279.814,279.814,279.814,
K2-138 d,non-habitable,,3.57,2.65,160.3881,160.3881,160.3882,
K2-138 e,non-habitable,,7.04,3.29,91.07549,91.07551,91.07552,
K2-138 f,non-habitable,,4.29,2.81,51.02715,51.02715,51.02716,
K2-139 b,non-habitable,,121.14,9.09,15.80837,15.80837,15.80837,
K2-141 b,non-habitable,,5.09,1.51,3336.174,3336.174,3336.175,
K2-141 c,non-habitable,,7.31,6.94,39.91838,39.91838,39.91838,
K2-216 b,non-habitable,,7.92,1.8,243.9196,243.9196,243.9196,
kappa And b,non-habitable,,4451.16,13.44,0.02591204,0.02591204,0.02591205,
kappa CrB b,non-habitable,508.7,508.7,11,1.418358,2.045475,3.060835,
Kapteyn b,psychroplanet,4.8,4.8,1.64,0.2900587,0.4342851,0.6803408,
Kapteyn c,non-habitable,7,7,1.81,0.08191247,0.1273154,0.2089763,
KELT-1 b,non-habitable,8657.51,8705.2,12.5,5614.409,5727.489,5843.488,
KELT-2 A b,non-habitable,351.49,472.46,14.63,1024.771,1464.055,2166.107,
KELT-3 b,non-habitable,345.36,450.84,14.93,1836.071,1836.071,1836.071,
KELT-4 A b,non-habitable,242.17,281.06,19.11,1742.763,1849.676,1964.973,
KELT-6 b,non-habitable,,140.53,13.22,478.9946,507.378,537.9111,
KELT-6 c,non-habitable,1179.56,1179.56,11.64,0.3881845,0.5812023,0.9104979,
KELT-7 b,non-habitable,,410.14,17.17,2933.239,2933.239,2933.24,
KELT-8 b,non-habitable,277.74,277.88,20.83,1225.502,1313.548,1409.695,
KELT-10 b,non-habitable,,215.88,15.67,595.5354,595.5355,595.5356,
KELT-11 b,non-habitable,,62,15.34,1422.617,1422.617,1422.618,
KELT-15 b,non-habitable,,292.5,16.16,1200.899,1200.899,1200.899,
KELT-16 b,non-habitable,,874.34,15.85,6006.622,6006.622,6006.624,
KELT-17 b,non-habitable,,416.5,17.08,3146.02,3146.021,3146.021,
KELT-18 b,non-habitable,,375.17,17.58,3122.677,3122.677,3122.677,
KELT-19 A b,non-habitable,,1294.02,21.39,2345.265,2345.266,2345.267,
KELT-20 b,non-habitable,,1118.51,19.43,4841.677,4841.678,4841.678,
KELT-21 b,non-habitable,,1243.15,17.76,2939.737,2939.737,2939.738,
Kepler-4 b,non-habitable,,26.21,4,1122.75,1122.75,1122.75,
Kepler-5 b,non-habitable,,672.13,16.03,1768.47,1768.47,1768.471,
Kepler-6 b,non-habitable,212.61,212.7,14.82,846.3563,846.3564,846.3566,
Kepler-7 b,non-habitable,118,137.67,18.08,961.038,1168.607,1435.493,
Kepler-8 b,non-habitable,,191.72,15.89,1265.431,1265.431,1265.432,
Kepler-9 b,non-habitable,,45.12,11.09,50.40582,57.02262,64.76564,
Kepler-9 c,non-habitable,,31.01,10.69,19.44267,22.24406,25.57035,
Kepler-9 d,non-habitable,5.24,5.25,2,1561.497,1561.498,1561.498,
Kepler-10 b,non-habitable,3.33,3.33,1.47,3386.399,3811.608,4305.954,
Kepler-10 c,non-habitable,,19.19,2.32,16.8707,18.62234,20.60837,
Kepler-11 b,non-habitable,1.9,1.9,1.8,136.4538,136.4539,136.4539,
Kepler-11 c,non-habitable,2.39,2.9,2.87,100.5673,100.5673,100.5673,
Kepler-11 d,non-habitable,,7.3,3.12,44.69658,44.69659,44.69659,
Kepler-11 e,non-habitable,,9.54,4.19,30.02377,30.02377,30.02377,
Kepler-11 f,non-habitable,,2,2.49,18.07959,18.07959,18.07959,
Kepler-11 g,non-habitable,,9.79,3.67,5.294009,5.294009,5.294009,
Kepler-12 b,non-habitable,136.63,137.03,18.98,782.6649,798.4283,814.599,
Kepler-13 A b,non-habitable,2098.4,2098.4,15.75,23138.57,23138.58,23138.58,
Kepler-14 b,non-habitable,2667.2,2670.7,12.72,906.057,971.1529,1042.238,
Kepler-15 b,non-habitable,209.84,209.84,10.75,264.9921,264.9922,264.9922,
Kepler-16(AB) b,non-habitable,105.7,105.87,8.44,0.2951877,0.2992506,0.3033858,
Kepler-17 b,non-habitable,776.56,778.95,14.69,1610.082,1645.78,1682.491,
Kepler-18 b,non-habitable,6.84,6.87,2,462.8623,462.8623,462.8623,
Kepler-18 c,non-habitable,17.19,17.21,5.48,163.5427,163.5427,163.5427,
Kepler-18 d,non-habitable,16.28,16.31,6.96,67.33046,67.33047,67.33047,
Kepler-19 b,non-habitable,,15.76,2.22,67.43002,85.1907,109.2137,
Kepler-19 c,non-habitable,13.1,13.1,4.04,12.94936,19.38819,30.37307,
Kepler-19 d,non-habitable,22.51,22.51,4.84,6.042154,6.669498,7.380783,
Kepler-20 b,non-habitable,9.7,9.7,1.87,313.8258,333.0779,353.84,
Kepler-20 c,non-habitable,,12.76,3.04,58.90121,80.28076,112.3108,
Kepler-20 d,non-habitable,,3.96,2.74,2.268885,7.257749,36.28846,
Kepler-20 e,non-habitable,,0.54,0.86,174.7876,174.7876,174.7876,
Kepler-20 f,non-habitable,,0.87,1,36.62194,36.62195,36.62196,
Kepler-20 g,non-habitable,19.97,19.97,4.65,12.78056,17.09348,23.39111,
Kepler-21 b,non-habitable,,4.79,1.64,2310.168,2403.933,2502.553,
