P. Name,P. Habitable Class,P. Min Mass (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU),
1RXS 1609 b,non-habitable,,0.73,1.35,4060,0.444285,0.54,1.362,
1SWASP J1407 b,non-habitable,6358.8,0.9,0.99,4400,0.329588,0.461,1.143,
2M 0103-55(AB) b,non-habitable,4133.22,0.4,0.38,3840,0.027955,0.136,0.347,
2M 0122-24 b,non-habitable,,0.4,0.38,3840,0.027955,0.136,0.347,
2M 0219-39 b,non-habitable,,0.11,0.27,3064,0.005765,0.062,0.165,
2M 0441+23 b,non-habitable,2384.55,0.02,0.01,3840,0.000028,0.004,0.011,
2M 0746+20 b,non-habitable,,0.12,0.09,2205,0.000168,0.011,0.029,
2M 1207-39 b,non-habitable,1271.76,0.03,0.02,3840,0.000058,0.006,0.016,
2M 1938+46 b,non-habitable,604.09,0.6,,,0.1296,,,
2M 2140+16 b,non-habitable,,0.08,0.1,2300,0.000251,0.013,0.035,
2M 2206-20 b,non-habitable,,0.13,0.11,2350,0.000331,0.015,0.041,
2M 2236+4751 b,non-habitable,3974.25,0.6,0.25,5150,0.039326,0.154,0.371,
2MASS J1450-7841 Ab,non-habitable,12717.6,0.04,0.03,3840,0.00014,0.01,0.025,
2MASS J1450-7841 Bb,non-habitable,12717.6,0.04,0.03,3840,0.00014,0.01,0.025,
2MASS J2250+2325 b,non-habitable,9538.2,,,3840,,,,
2MASS J11193254 AB b,non-habitable,1176.38,,,,,,,
2M J2126-81 b,non-habitable,4228.6,0.4,1.39,3840,0.372521,0.497,1.267,
4 Uma b,non-habitable,2257.37,1.23,18.11,4415,111.801993,8.48,21.034,
6 Lyn b,non-habitable,21874.27,1.7,5.2,4978,14.897593,3.026,7.323,
7 CMa b,non-habitable,782.13,1.52,2.3,4792,2.502723,1.251,3.05,
8 Umi b,non-habitable,476.91,1.8,9.9,4847.4,48.550717,5.496,13.371,
11 Com b,non-habitable,6168.04,2.7,19,4742,163.773362,10.14,24.781,
11 Oph b,non-habitable,6676.74,0.02,0.02,2375,0.000018,0.003,0.009,
11 UMi b,non-habitable,3338.37,1.8,24.08,4340,184.570281,10.921,27.187,
14 And b,non-habitable,1694.62,2.2,11,4813,58.25573,6.029,14.69,
14 Her b,non-habitable,1475.24,0.9,0.71,5311,0.357817,0.461,1.102,
16 Cyg B b,non-habitable,534.14,1.01,0.98,5766,0.952446,0.733,1.727,
18 Del b,non-habitable,3274.78,2.3,8.5,4979,39.83788,4.949,11.975,
24 Boo b,non-habitable,289.33,0.99,10.64,4893,58.220234,6.006,14.585,
24 Sex b,non-habitable,632.7,1.54,4.9,5098,14.550615,2.974,7.162,
24 Sex c,non-habitable,273.43,1.54,4.9,5098,14.550615,2.974,7.162,
30 Ari B b,non-habitable,3141.25,1.22,1.23,6484,2.399231,1.114,2.586,
38 Vir b,non-habitable,1433.91,1.18,1.45,6557,3.486957,1.337,3.102,
42 Dra b,non-habitable,1233.61,0.98,22.03,4200,135.492709,9.395,23.546,
47 Uma b,non-habitable,804.39,1.03,1.24,5892,1.662586,0.961,2.258,
47 Uma c,non-habitable,171.69,1.03,1.24,5892,1.662586,0.961,2.258,
47 Uma d,non-habitable,521.42,1.03,1.24,5892,1.662586,0.961,2.258,
51 Eri b,non-habitable,1928.45,1.75,1.49,7300,5.6428,1.647,3.796,
51 Peg b,non-habitable,,1.11,1.27,5793,1.619464,0.954,2.247,
55 Cnc b,non-habitable,267.07,0.91,0.94,5196,0.581554,0.591,1.419,
55 Cnc c,non-habitable,56.72,0.91,0.94,5196,0.581554,0.591,1.419,
55 Cnc d,non-habitable,1227.25,0.91,0.94,5196,0.581554,0.591,1.419,
55 Cnc e,non-habitable,,0.91,0.94,5196,0.581554,0.591,1.419,
55 Cnc f,non-habitable,47.02,0.91,0.94,5196,0.581554,0.591,1.419,
61 Vir b,non-habitable,5.09,0.95,0.94,5531,0.741925,0.656,1.556,
61 Vir c,non-habitable,18.22,0.95,0.94,5531,0.741925,0.656,1.556,
61 Vir d,non-habitable,22.89,0.95,0.94,5531,0.741925,0.656,1.556,
70 Vir b,non-habitable,2098.4,0.92,1.97,5432,3.025375,1.332,3.17,
75 Cet b,non-habitable,953.82,2.49,10.5,4846,54.550918,5.826,14.175,
81 Cet b,non-habitable,1685.08,2.4,18,4790,153.030103,9.782,23.856,
91 Aqr b,non-habitable,1017.41,2.5,8.55,4665,31.06195,4.43,10.862,
AB Pic b,non-habitable,4292.19,,0.98,4875,0.480532,0.546,1.327,
Aldebaran b,non-habitable,2057.07,1.13,45.1,4055,493.408199,17.994,45.42,
alf Ari b,non-habitable,572.29,1.5,13.9,4553,74.492062,6.889,16.979,
alf Cen B b,non-habitable,1.14,0.93,0.86,5214,0.49408,0.545,1.306,
AS 205 A b,non-habitable,6120.35,0.9,3.7,4300,4.199205,1.649,4.114,
BD+03 2562 b,non-habitable,2034.82,1.14,32.35,4095,264.03051,13.15,33.128,
BD+14 4559 b,non-habitable,467.37,0.86,0.79,5008,0.348289,0.462,1.117,
BD+15 2375 b,non-habitable,337.02,1.08,8.95,4649,33.571764,4.608,11.308,
BD+15 2940 b,non-habitable,352.91,1.1,14.7,4796,102.574923,8.007,19.521,
BD+20 274 c,non-habitable,1335.35,0.8,17.3,4296,91.461682,7.698,19.204,
BD+20 594 b,non-habitable,11.77,0.96,0.93,5766,0.854052,0.694,1.636,
BD+20 1790 b,non-habitable,2025.28,0.63,0.71,4410,0.171065,0.332,0.823,
BD+20 2457 b,non-habitable,6810.27,2.8,4.39,4127,4.989534,1.806,4.543,
BD+20 2457 c,non-habitable,3964.71,2.8,4.39,4127,4.989534,1.806,4.543,
BD+24 4697 b,non-habitable,16850.82,0.75,0.73,5077,0.316406,0.439,1.058,
BD+26 1888 b,non-habitable,8266.44,0.76,0.63,4748,0.178471,0.335,0.818,
BD+48 738 b,non-habitable,289.33,0.74,11,4414,41.210186,5.149,12.771,
BD+49 828 b,non-habitable,508.7,1.52,7.6,4943,30.937093,4.368,10.586,
BD-06 1339 b,non-habitable,8.58,0.7,1.64,4324,0.835718,0.735,1.832,
BD-06 1339 c,non-habitable,54.05,0.7,1.64,4324,0.835718,0.735,1.832,
BD-06 1339 d,non-habitable,28.93,0.7,1.64,4324,0.835718,0.735,1.832,
BD-08 2823 b,non-habitable,14.31,0.74,0.67,4746,0.200736,0.355,0.867,
BD-08 2823 c,non-habitable,104.92,0.74,0.67,4746,0.200736,0.355,0.867,
BD-10 3166 b,non-habitable,102.14,0.99,1.71,5400,2.230782,1.146,2.73,
BD-11 4672 b,non-habitable,168.51,0.57,0.52,4475,0.09729,0.25,0.618,
BD-17 63 b,non-habitable,1621.49,0.74,0.69,4714,0.210934,0.364,0.891,
beta Cir b,non-habitable,17804.64,1.96,1.71,8676,14.757891,2.664,6.139,
beta Cnc b,non-habitable,2479.93,1.7,48.96,3990,545.085116,18.941,47.964,
beta Pic b,non-habitable,,1.73,1.09,9790,9.707662,2.161,4.979,
beta Umi b,non-habitable,1939.43,1.4,42.06,4126,459.986643,17.344,43.627,
CD-35 2722 b,non-habitable,9856.14,0.4,0.52,3680,0.044541,0.172,0.443,
CFBDS 1458 b,non-habitable,3338.37,0.02,0.7,560,0.000043,0.005,0.015,
CFBDSIR J2149-0403 b,non-habitable,6676.74,,,,,,,
CHXR 73 b,non-habitable,3815.28,0.35,0.33,3840,0.020563,0.117,0.298,
CI Tau b,non-habitable,3913.84,0.8,0.81,5150,0.4096,0.498,1.196,
CoRoT-1 b,non-habitable,,0.95,1.11,6298,1.739188,0.959,2.233,
CoRoT-2 b,non-habitable,,0.97,0.9,5575,0.705152,0.638,1.511,
CoRoT-3 b,non-habitable,,1.41,1.44,6558,3.441126,1.328,3.081,
CoRoT-4 b,non-habitable,,1.1,1.15,6190,1.742,0.966,2.254,
CoRoT-5 b,non-habitable,,1,1.19,6100,1.747345,0.973,2.274,
CoRoT-6 b,non-habitable,,1.05,1.02,6090,1.296602,0.838,1.961,
CoRoT-7 b,non-habitable,0.17,0.93,0.87,5313,0.541113,0.567,1.355,
CoRoT-7 c,non-habitable,13.56,0.93,0.87,5313,0.541113,0.567,1.355,
CoRoT-8 b,non-habitable,,0.88,0.77,5080,0.354263,0.464,1.119,
CoRoT-9 b,non-habitable,,0.99,0.94,5625,0.793662,0.675,1.596,
CoRoT-10 b,non-habitable,,0.89,0.79,5075,0.37144,0.476,1.147,
CoRoT-11 b,non-habitable,,1.27,1.36,6343,2.686251,1.189,2.766,
CoRoT-12 b,non-habitable,,1.08,1.12,5675,1.158995,0.813,1.921,
CoRoT-13 b,non-habitable,,1.09,1.01,5945,1.143247,0.794,1.864,
CoRoT-14 b,non-habitable,,1.13,1.21,6035,1.742487,0.975,2.283,
CoRoT-15 b,non-habitable,,1.3,1.06,7300,2.846131,1.17,2.696,
CoRoT-16 b,non-habitable,,1.1,1.19,5650,1.294725,0.86,2.034,
CoRoT-17 b,non-habitable,,1.04,1.59,5740,2.462247,1.18,2.784,
CoRoT-18 b,non-habitable,,0.95,1,5440,0.785752,0.679,1.615,
CoRoT-19 b,non-habitable,,1.21,1.65,6090,3.359904,1.35,3.156,
CoRoT-20 b,non-habitable,,1.14,0.92,5880,0.907768,0.711,1.67,
CoRoT-21 b,non-habitable,,1.29,1.95,6200,5.015286,1.638,3.822,
CoRoT-22 b,non-habitable,,1.1,1.14,5939,1.440456,0.892,2.093,
CoRoT-23 b,non-habitable,,1.14,1.61,5900,2.818056,1.251,2.937,
CoRoT-24 b,non-habitable,,0.91,0.86,4950,0.398389,0.496,1.201,
CoRoT-24 c,non-habitable,,0.91,0.86,4950,0.398389,0.496,1.201,
CoRoT-25 b,non-habitable,57.44,1.09,1.19,6040,1.690953,0.96,2.248,
CoRoT-26 b,non-habitable,162.82,1.09,1.79,5590,2.807005,1.271,3.011,
CoRoT-27 b,non-habitable,3303.36,1.05,1.08,5900,1.268076,0.839,1.97,
CoRoT-28 b,non-habitable,,1.01,1.78,5150,1.999672,1.099,2.643,
CoRoT-29 b,non-habitable,,0.98,0.9,5260,0.556311,0.577,1.38,
CoRoT-30 b,non-habitable,902.93,0.98,0.91,5660,0.762497,0.66,1.56,
CoRoT-31 b,non-habitable,,1.25,2.15,5370,3.448767,1.427,3.404,
CoRoT-32 b,non-habitable,,1.09,0.79,5970,0.711281,0.626,1.467,
CoRoT-33 b,non-habitable,,0.86,0.94,5225,0.590868,0.595,1.427,
CT Cha b,non-habitable,,,0.7,5150,0.30688,0.431,1.035,
CVSO 30 b,non-habitable,,0.39,1.39,3740,0.339161,0.475,1.217,
DE0823-49 b,non-habitable,10015.11,0.04,0.1,2150,0.000184,0.011,0.03,
DH Tau b,non-habitable,3497.34,0.37,0.35,3840,0.023366,0.124,0.317,
DP Leo b,non-habitable,1923.54,0.69,0.17,9790,0.226671,0.33,0.761,
DW Lyn b,non-habitable,1774.11,,,,,,,
DW Uma b,non-habitable,3198.48,1.06,2.53,3840,1.242417,0.907,2.314,
EPC 212069861 b,non-habitable,,0.61,0.59,3880,0.071262,0.217,0.553,
EPIC-206011691 b,non-habitable,,0.64,0.6,4043,0.086299,0.238,0.601,
EPIC-206011691 c,non-habitable,,0.64,0.6,4043,0.086299,0.238,0.601,
EPIC-210490365 b,non-habitable,,0.29,0.29,3180,0.007984,0.073,0.193,
EPIC 201128338 b,non-habitable,,0.65,0.63,3940,0.086086,0.238,0.605,
EPIC 201295312 b,non-habitable,,1.13,1.52,5830,2.394701,1.158,2.724,
EPIC 201445392 c,non-habitable,,0.79,0.74,4890,0.280924,0.417,1.013,
EPIC 201498078 b,non-habitable,,1.1,1.67,5513,2.308631,1.158,2.75,
EPIC 201598502 b,non-habitable,,0.51,0.49,3720,0.042099,0.167,0.429,
EPIC 201637175 b,non-habitable,,0.6,0.57,3830,0.062724,0.204,0.52,
EPIC 201713348 b,non-habitable,,0.8,0.74,4924,0.288819,0.422,1.025,
EPIC 201713348 c,non-habitable,,0.8,0.74,4924,0.288819,0.422,1.025,
EPIC 203826436 b,non-habitable,,0.9,0.85,5413,0.556519,0.572,1.362,
EPIC 203826436 c,non-habitable,,0.9,0.85,5413,0.556519,0.572,1.362,
EPIC 203826436 d,non-habitable,,0.9,0.85,5413,0.556519,0.572,1.362,
EPIC 204221263 b,non-habitable,,1.07,1.1,5757,1.192505,0.821,1.934,
EPIC 204221263 c,non-habitable,,1.07,1.1,5757,1.192505,0.821,1.934,
EPIC 210894022 b,non-habitable,,0.89,1.23,5730,1.46325,0.91,2.148,
EPIC 211331236 b,non-habitable,,0.53,0.51,3676,0.043115,0.169,0.436,
EPIC 211331236 c,non-habitable,,0.53,0.51,3676,0.043115,0.169,0.436,
EPIC 211391664 b,non-habitable,,1.07,1.31,6120,2.163221,1.081,2.526,
EPIC 211418729 b,non-habitable,,0.83,0.83,5027,0.392813,0.49,1.184,
EPIC 211442297 b,non-habitable,,0.83,0.88,5560,0.665489,0.62,1.47,
EPIC 211822797 b,non-habitable,,0.61,0.59,3880,0.070782,0.216,0.551,
EPIC 211913977 b,non-habitable,,0.8,0.73,4819,0.257848,0.401,0.977,
EPIC 211924657 b,non-habitable,,0.36,0.35,3385,0.01443,0.098,0.257,
EPIC  211945201 b,non-habitable,,1.18,1.38,6025,2.251522,1.109,2.598,
EPIC 211969807 b,non-habitable,,0.51,0.48,3660,0.037093,0.157,0.405,
EPIC 211970147 b,non-habitable,,0.77,0.71,4695,0.21976,0.372,0.911,
EPIC 211990866 b,non-habitable,,1.18,1.19,6120,1.782336,0.981,2.293,
EPIC 212006344 b,non-habitable,,0.64,0.61,3903,0.077981,0.227,0.577,
EPIC 213715787 b,non-habitable,,0.58,0.55,3672,0.050063,0.183,0.47,
EPIC 216468514 b,non-habitable,,1.3,1.78,6030,3.758366,1.433,3.355,
EPIC 219388192 b,non-habitable,,0.99,1.01,5850,1.071905,0.774,1.819,
EPIC 220194974 b,non-habitable,,0.65,0.63,4079,0.099206,0.255,0.643,
EPIC 220194974 c,non-habitable,,0.65,0.63,4079,0.099206,0.255,0.643,
EPIC 220194974 d,non-habitable,,0.65,0.63,4079,0.099206,0.255,0.643,
EPIC 220504338 b,non-habitable,,1.01,1.05,5627,0.986032,0.752,1.779,
EPIC 220522664 b,non-habitable,,0.59,0.57,3745,0.056937,0.194,0.499,
EPIC 220598331 b,non-habitable,,0.46,0.44,3499,0.025565,0.131,0.339,
EPIC 220621087 b,non-habitable,,0.44,0.43,3585,0.027275,0.135,0.349,
EPIC 228735255 b,non-habitable,,1,0.99,5654,0.893197,0.715,1.689,
EPIC 228754001 b,non-habitable,,1.19,4.11,4878,8.581054,2.307,5.607,
EPIC 228934525 b,non-habitable,,0.67,0.65,3978,0.094632,0.25,0.633,
EPIC 228934525 c,non-habitable,,0.67,0.65,3978,0.094632,0.25,0.633,
EPIC 246911830 b,non-habitable,451.46,1.39,1.69,6367,4.211168,1.486,3.457,
EPIC 248435473 b,non-habitable,,0.67,0.65,4184,0.11581,0.275,0.689,
EPIC 248435473 c,non-habitable,,0.67,0.65,4184,0.11581,0.275,0.689,
EPIC 248545986 b,non-habitable,,0.4,0.36,3420,0.015907,0.103,0.269,
EPIC 248545986 c,non-habitable,,0.4,0.36,3420,0.015907,0.103,0.269,
EPIC 248545986 d,non-habitable,,0.4,0.36,3420,0.015907,0.103,0.269,
EPIC 249622103 b,non-habitable,,0.8,0.74,4950,0.298967,0.429,1.04,
EPIC 249622103 c,non-habitable,,0.8,0.74,4950,0.298967,0.429,1.04,
EPIC 249622103 d,non-habitable,,0.8,0.74,4950,0.298967,0.429,1.04,
EPIC 249801827 b,non-habitable,,0.58,0.54,3810,0.055129,0.191,0.488,
EPIC 249801827 c,non-habitable,,0.58,0.54,3810,0.055129,0.191,0.488,
eps CrB b,non-habitable,2130.2,1.7,21,4406,149.109888,9.796,24.309,
eps Eridani b,non-habitable,982.43,0.83,0.9,5116,0.492332,0.546,1.315,
eps Ind A b,non-habitable,861.62,0.76,0.52,5150,0.171166,0.322,0.773,
eps Tau b,non-habitable,2333.68,2.7,13.7,4901,97.15603,7.756,18.828,
eta Cet b,non-habitable,810.75,1.7,14.3,4528,77.123641,7.016,17.311,
eta Cet c,non-habitable,1055.56,1.7,14.3,4528,77.123641,7.016,17.311,
FL Lyr b,non-habitable,2861.46,2.2,1.61,5940,2.882426,1.262,2.96,
Fomalhaut b,non-habitable,953.82,1.92,1.84,8590,16.574551,2.823,6.506,
FU Tau b,non-habitable,4769.1,0.05,0.06,2838,0.000234,0.013,0.034,
FW Tau b,non-habitable,3179.4,0.26,0.56,3270,0.032117,0.147,0.386,
gamma 1 Leo b,non-habitable,20310.01,1.23,31.88,4330,320.536881,14.397,35.856,
gamma Cephei b,non-habitable,3525.95,1.4,4.9,4800,11.435285,2.673,6.516,
gamma Lib b,non-habitable,327.16,1.47,11.1,4822,59.764688,6.105,14.868,
gamma Lib c,non-habitable,1472.06,1.47,11.1,4822,59.764688,6.105,14.868,
GJ 15A b,non-habitable,3.03,0.38,0.39,3567,0.021675,0.12,0.311,
GJ 27.1 b,non-habitable,13,0.53,0.52,3542,0.03833,0.16,0.414,
GJ 86 A b,non-habitable,1274.94,0.8,0.85,5350,0.537325,0.564,1.346,
GJ 160.2 b,non-habitable,10.2,0.69,0.74,4347,0.174593,0.336,0.836,
GJ 163 b,non-habitable,10.62,0.4,0.23,3840,0.01038,0.083,0.212,
GJ 163 c,psychroplanet,7.26,0.4,0.23,3840,0.01038,0.083,0.212,
GJ 163 d,non-habitable,22.08,0.4,0.23,3840,0.01038,0.083,0.212,
GJ 176 b,non-habitable,8.43,0.49,0.53,3520,0.038691,0.161,0.417,
GJ 179 b,non-habitable,260.71,0.36,0.38,3370,0.01671,0.106,0.277,
GJ 180 b,mesoplanet,8.3,0.43,0.34,3371,0.013018,0.093,0.244,
GJ 180 c,mesoplanet,6.4,0.43,0.34,3371,0.013018,0.093,0.244,
GJ 229 A b,non-habitable,32.01,0.58,0.89,3564,0.113165,0.275,0.711,
GJ 229 Bb,non-habitable,11127.9,0.58,0.89,3564,0.113165,0.275,0.711,
GJ 273 b,mesoplanet,2.89,0.29,0.29,3382,0.010077,0.082,0.215,
GJ 273 c,non-habitable,1.18,0.29,0.29,3382,0.010077,0.082,0.215,
GJ 317 b,non-habitable,813.93,0.42,0.25,3510,0.008749,0.076,0.198,
GJ 317 c,non-habitable,635.88,0.42,0.25,3510,0.008749,0.076,0.198,
GJ 328 b,non-habitable,731.26,0.69,0.44,3900,0.039567,0.162,0.411,
GJ 422 b,mesoplanet,9.9,0.35,0.3,3323,0.009624,0.08,0.21,
GJ 433 b,non-habitable,5.3,0.48,0.39,3600,0.023178,0.124,0.321,
GJ 433 c,non-habitable,44.51,0.48,0.39,3600,0.023178,0.124,0.321,
GJ 436 b,non-habitable,,0.45,0.46,3684,0.03558,0.154,0.396,
GJ 504 b,non-habitable,,1.22,1.28,6234,2.193053,1.081,2.52,
GJ 536 b,non-habitable,5.37,0.52,0.5,3685,0.04136,0.166,0.427,
GJ 570 Db,non-habitable,,0.8,0.65,4758,0.191944,0.347,0.847,
GJ 581 b,non-habitable,15.9,0.31,0.3,3498,0.01209,0.09,0.233,
GJ 581 c,non-habitable,5.4,0.31,0.3,3498,0.01209,0.09,0.233,
GJ 581 e,non-habitable,1.94,0.31,0.3,3498,0.01209,0.09,0.233,
GJ 625 b,non-habitable,3.02,0.3,0.31,3499,0.012924,0.093,0.241,
GJ 649 b,non-habitable,104.28,0.54,0.45,3700,0.034123,0.151,0.387,
GJ 649 c,non-habitable,9.54,0.54,0.45,3700,0.034123,0.151,0.387,
GJ 667 C b,non-habitable,5.6,0.33,0.35,3350,0.0137,0.096,0.251,
GJ 667 C c,mesoplanet,3.8,0.33,0.35,3350,0.0137,0.096,0.251,
GJ 667 C d,non-habitable,5.1,0.33,0.35,3350,0.0137,0.096,0.251,
GJ 667 C e,psychroplanet,2.7,0.33,0.35,3350,0.0137,0.096,0.251,
GJ 667 C f,psychroplanet,2.7,0.33,0.35,3350,0.0137,0.096,0.251,
GJ 667 C g,non-habitable,4.6,0.33,0.35,3350,0.0137,0.096,0.251,
GJ 674 b,non-habitable,,0.35,0.42,3600,0.026583,0.133,0.344,
GJ 676 A b,non-habitable,2130.2,0.71,0.7,3840,0.095572,0.252,0.642,
GJ 676 A c,non-habitable,2161.99,0.71,0.7,3840,0.095572,0.252,0.642,
GJ 676 A d,non-habitable,4.45,0.71,0.7,3840,0.095572,0.252,0.642,
GJ 676 A e,non-habitable,11.45,0.71,0.7,3840,0.095572,0.252,0.642,
GJ 682 b,non-habitable,4.4,0.27,0.39,3028,0.01132,0.087,0.232,
GJ 682 c,psychroplanet,8.7,0.27,0.39,3028,0.01132,0.087,0.232,
GJ 687 b,non-habitable,18.44,0.41,0.42,3413,0.021302,0.119,0.311,
GJ 758 b,non-habitable,14307.3,0.97,0.88,5425,0.601803,0.594,1.415,
GJ 785 b,non-habitable,16.91,0.78,0.68,5144,0.290477,0.419,1.008,
GJ 785 c,non-habitable,24.16,0.78,0.68,5144,0.290477,0.419,1.008,
GJ 832 b,non-habitable,219.08,0.45,0.45,3472,0.025935,0.132,0.342,
GJ 832 c,mesoplanet,5.4,0.45,0.45,3472,0.025935,0.132,0.342,
GJ 849 b,non-habitable,286.15,0.49,0.52,3840,0.014259,0.097,0.248,
GJ 849 c,non-habitable,244.81,0.49,0.52,3840,0.014259,0.097,0.248,
GJ 876 b,non-habitable,616.17,0.33,0.36,3350,0.014644,0.099,0.259,
GJ 876 c,non-habitable,272.16,0.33,0.36,3350,0.014644,0.099,0.259,
GJ 876 d,non-habitable,6.99,0.33,0.36,3350,0.014644,0.099,0.259,
GJ 876 e,non-habitable,14.31,0.33,0.36,3350,0.014644,0.099,0.259,
GJ 1132 b,non-habitable,,0.18,0.21,3270,0.004396,0.054,0.143,
GJ 1132 c,non-habitable,2.64,0.18,0.21,3270,0.004396,0.054,0.143,
GJ 1214 b,non-habitable,,0.15,0.22,3026,0.00351,0.049,0.129,
GJ 3021 b,non-habitable,1071.46,0.9,0.9,5540,0.684564,0.63,1.494,
GJ 3138 b,non-habitable,4.2,0.68,0.5,3717,0.042815,0.169,0.433,
GJ 3138 c,non-habitable,1.78,0.68,0.5,3717,0.042815,0.169,0.433,
GJ 3138 d,non-habitable,10.49,0.68,0.5,3717,0.042815,0.169,0.433,
GJ 3293 b,non-habitable,23.55,0.42,0.4,3466,0.021133,0.119,0.309,
GJ 3293 c,non-habitable,21.1,0.42,0.4,3466,0.021133,0.119,0.309,
GJ 3293 d,psychroplanet,7.63,0.42,0.4,3466,0.021133,0.119,0.309,
GJ 3293 e,non-habitable,3.27,0.42,0.4,3466,0.021133,0.119,0.309,
GJ 3323 b,mesoplanet,2.02,0.16,0.12,3159,0.001265,0.029,0.077,
GJ 3323 c,non-habitable,2.31,0.16,0.12,3159,0.001265,0.029,0.077,
GJ 3341 b,non-habitable,6.6,0.47,0.46,3526,0.028964,0.139,0.361,
GJ 3470 b,non-habitable,,0.54,0.55,3600,0.045585,0.174,0.45,
GJ 3634 b,non-habitable,8.27,0.45,0.43,3314,0.02001,0.116,0.304,
GJ 3942 b,non-habitable,7.15,0.63,0.61,3867,0.074653,0.222,0.566,
GJ 3998 b,non-habitable,2.47,0.5,0.49,3722,0.041342,0.166,0.425,
GJ 3998 c,non-habitable,6.26,0.5,0.49,3722,0.041342,0.166,0.425,
GJ 9827 b,non-habitable,,0.66,0.65,4255,0.124638,0.285,0.711,
GJ 9827 c,non-habitable,,0.66,0.65,4255,0.124638,0.285,0.711,
GJ 9827 d,non-habitable,,0.66,0.65,4255,0.124638,0.285,0.711,
GP Com b,non-habitable,8330.03,0.33,,,0.01796,,,
GQ Lup b,non-habitable,,0.7,0.92,5150,0.53488,0.569,1.367,
GSC 6214-210 b,non-habitable,5404.98,0.6,0.82,3840,0.1296,0.293,0.747,
GU Psc b,non-habitable,,0.35,0.33,3840,0.021207,0.118,0.302,
HAT-P-1 b,non-habitable,166.89,1.15,1.17,5980,1.58136,0.932,2.185,
HAT-P-2 b,non-habitable,,1.34,1.54,6414,3.6012,1.37,3.185,
HAT-P-3 b,non-habitable,,0.92,0.8,5224,0.426576,0.506,1.213,
HAT-P-4 b,non-habitable,,1.26,1.59,5890,2.729891,1.232,2.893,
HAT-P-5 b,non-habitable,,1.16,1.14,5960,1.46351,0.898,2.106,
HAT-P-6 b,non-habitable,,1.29,1.46,6570,3.563338,1.351,3.132,
HAT-P-7 b,non-habitable,396.16,1.51,2,6259,5.507693,1.71,3.986,
HAT-P-8 b,non-habitable,424.48,1.28,1.58,6200,3.309563,1.331,3.105,
HAT-P-9 b,non-habitable,212.87,1.28,1.32,6350,2.541748,1.156,2.689,
HAT-P-11 b,non-habitable,26.14,0.81,0.75,4780,0.263466,0.406,0.991,
HAT-P-12 b,non-habitable,66.92,0.73,0.7,4650,0.205541,0.361,0.885,
HAT-P-13 b,non-habitable,269.53,1.22,1.56,5638,2.206172,1.124,2.658,
HAT-P-13 c,non-habitable,4540.18,1.22,1.56,5638,2.206172,1.124,2.658,
HAT-P-14 b,non-habitable,699.38,1.39,1.47,6600,3.668747,1.368,3.172,
HAT-P-15 b,non-habitable,609.5,1.01,1.08,5568,1.005852,0.762,1.806,
HAT-P-16 b,non-habitable,,1.22,1.24,6158,1.974186,1.03,2.406,
HAT-P-17 b,non-habitable,169.71,0.86,0.84,5246,0.476051,0.534,1.279,
HAT-P-17 c,non-habitable,445.12,0.86,0.84,5246,0.476051,0.534,1.279,
HAT-P-18 b,non-habitable,58.18,0.77,0.72,4870,0.259444,0.401,0.976,
HAT-P-19 b,non-habitable,92.81,0.84,0.82,4990,0.374041,0.479,1.159,
HAT-P-20 b,non-habitable,2277.95,0.76,0.69,4595,0.192642,0.35,0.86,
HAT-P-21 b,non-habitable,1287.77,0.95,1.1,5588,1.068169,0.784,1.858,
HAT-P-22 b,non-habitable,682.21,0.92,1.04,5302,0.766859,0.675,1.615,
HAT-P-23 b,non-habitable,653.58,1.13,1.29,5924,1.838779,1.009,2.368,
HAT-P-24 b,non-habitable,217.43,1.19,1.32,6373,2.567066,1.16,2.698,
HAT-P-25 b,non-habitable,179.59,1.01,0.96,5500,0.755054,0.663,1.574,
HAT-P-26 b,non-habitable,18.6,0.82,0.79,5079,0.370728,0.475,1.145,
HAT-P-27-WASP-40 b,non-habitable,209.45,0.94,0.9,5300,0.570881,0.583,1.393,
HAT-P-28 b,non-habitable,198.86,1.02,1.1,5680,1.136146,0.805,1.901,
HAT-P-29 b,non-habitable,247.24,1.21,1.22,6087,1.845295,1,2.34,
HAT-P-30-WASP-51 b,non-habitable,225.7,1.18,1.33,6250,2.42166,1.135,2.645,
HAT-P-31 b,non-habitable,690.24,1.22,1.36,6065,2.245385,1.105,2.586,
HAT-P-32 b,non-habitable,298.34,1.18,1.39,6001,2.238398,1.108,2.595,
HAT-P-33 b,non-habitable,242.14,1.4,1.78,6401,4.756155,1.576,3.664,
HAT-P-34 b,non-habitable,1057.94,1.36,1.45,6509,3.385968,1.321,3.067,
HAT-P-35 b,non-habitable,333.57,1.24,1.44,6096,2.55137,1.176,2.749,
HAT-P-36 b,non-habitable,581.56,1.02,1.1,5580,1.044835,0.776,1.839,
HAT-P-37 b,non-habitable,371.06,0.93,0.88,5500,0.631451,0.606,1.44,
HAT-P-38 b,non-habitable,,0.89,0.92,5330,0.616882,0.605,1.445,
HAT-P-39 b,non-habitable,190.23,1.4,1.62,6430,4.049865,1.452,3.374,
HAT-P-40 b,non-habitable,195.53,1.51,2.21,6080,5.966438,1.8,4.21,
