P. Name,P. Habitable Class,P. Min Mass (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU),
HD 154857 b,non-habitable,712.19,1.72,1.76,5445,2.442906,1.196,2.846,
HD 154857 c,non-habitable,820.29,1.72,1.76,5445,2.442906,1.196,2.846,
HD 155233 b,non-habitable,826.64,1.5,5,4845,12.359615,2.773,6.748,
HD 155358 b,non-habitable,270.25,0.92,1.36,5900,1.990384,1.051,2.468,
HD 155358 c,non-habitable,260.71,0.92,1.36,5900,1.990384,1.051,2.468,
HD 156279 b,non-habitable,3087.2,0.93,0.99,5453,0.777969,0.675,1.605,
HD 156411 b,non-habitable,235.28,1.25,2.16,5900,5.072306,1.678,3.94,
HD 156668 b,non-habitable,4.17,0.77,0.72,4850,0.257349,0.4,0.973,
HD 157172 b,non-habitable,38.15,0.87,0.76,5940,0.636182,0.593,1.391,
HD 158038 b,non-habitable,572.29,1.65,4.8,4897,11.887561,2.714,6.588,
HD 158996 b,non-habitable,4451.16,1.8,50.3,4069,622.266734,20.201,50.955,
HD 159243 b,non-habitable,359.27,1.12,1.07,6123,1.446146,0.884,2.065,
HD 159243 c,non-habitable,604.09,1.12,1.07,6123,1.446146,0.884,2.065,
HD 159868 b,non-habitable,667.67,1.09,2.02,5395,3.073415,1.345,3.206,
HD 159868 c,non-habitable,232.1,1.09,2.02,5395,3.073415,1.345,3.206,
HD 160508 b,non-habitable,15261.12,1.25,1.71,6212,3.894067,1.442,3.365,
HD 162004 b,non-habitable,486.45,1.19,1.3,6212,2.244603,1.095,2.554,
HD 162020 b,non-habitable,4578.34,0.75,0.71,4830,0.246147,0.392,0.954,
HD 163296 b,non-habitable,95.38,2.3,1.74,9790,24.701292,3.446,7.942,
HD 163296 c,non-habitable,95.38,2.3,1.74,9790,24.701292,3.446,7.942,
HD 163607 b,non-habitable,244.81,1.09,1.63,5543,2.250321,1.142,2.708,
HD 163607 c,non-habitable,728.08,1.09,1.63,5543,2.250321,1.142,2.708,
HD 164509 b,non-habitable,152.61,1.13,1.06,5922,1.239867,0.828,1.945,
HD 164595 b,non-habitable,16.41,0.99,1.03,5790,1.053651,0.77,1.813,
HD 164604 b,non-habitable,858.44,0.8,0.55,5150,0.188611,0.338,0.812,
HD 164922 b,non-habitable,107.62,0.87,1,5293,0.702795,0.647,1.547,
HD 164922 c,non-habitable,12.91,0.87,1,5293,0.702795,0.647,1.547,
HD 165155 b,non-habitable,918.85,1.02,0.95,5426,0.701869,0.642,1.528,
HD 166724 b,non-habitable,1122.33,0.32,0.73,5150,0.334719,0.45,1.081,
HD 167042 b,non-habitable,508.7,1.64,4.3,5020,10.535173,2.54,6.136,
HD 168443 b,non-habitable,2435.1,0.99,1.51,5591,1.998949,1.073,2.541,
HD 168443 c,non-habitable,9367.47,0.99,1.51,5591,1.998949,1.073,2.541,
HD 168746 b,non-habitable,73.13,0.88,1.12,5610,1.11475,0.8,1.894,
HD 169142 b,non-habitable,9538.2,1.65,1.6,7650,7.86639,1.945,4.482,
HD 169830 b,non-habitable,915.67,1.4,1.84,6266,4.682599,1.576,3.674,
HD 169830 c,non-habitable,1284.48,1.4,1.84,6266,4.682599,1.576,3.674,
HD 170469 b,non-habitable,213.02,1.14,1.22,5810,1.521647,0.924,2.175,
HD 171028 b,non-habitable,629.52,0.99,1.95,5663,3.508693,1.415,3.345,
HD 171238 b,non-habitable,826.64,0.94,1.04,5467,0.860579,0.709,1.686,
HD 173416 b,non-habitable,858.44,2,13.5,4683,78.641899,7.043,17.258,
HD 175167 b,non-habitable,2479.93,1.1,0.87,5940,0.832547,0.678,1.591,
HD 175370 b,non-habitable,1462.52,1.02,23.5,4301,169.552178,10.48,26.137,
HD 175541 b,non-habitable,193.94,1.65,3.85,5060,8.717929,2.306,5.562,
HD 175607 b,non-habitable,9,0.71,0.71,5392,0.382302,0.475,1.131,
HD 176051 b,non-habitable,476.91,0.9,,,0.6561,,,
HD 176986 b,non-habitable,5.75,0.79,0.78,4931,0.324372,0.448,1.085,
HD 176986 c,non-habitable,9.19,0.79,0.78,4931,0.324372,0.448,1.085,
HD 177830 b,non-habitable,473.73,1.47,2.99,4948,4.807851,1.722,4.171,
HD 177830 c,non-habitable,47.69,1.47,2.99,4948,4.807851,1.722,4.171,
HD 178911 B b,non-habitable,2000.48,1.07,1.14,5650,1.18821,0.824,1.949,
HD 179079 b,non-habitable,25.44,1.09,1.48,5724,2.109657,1.094,2.58,
HD 179949 b,non-habitable,,1.28,1.19,6260,1.951107,1.018,2.372,
HD 180314 b,non-habitable,6994.68,2.6,9.2,4917,44.388071,5.239,12.709,
HD 180777 b,non-habitable,7948.5,1.7,1.58,7250,6.142219,1.719,3.961,
HD 180902 b,non-habitable,508.7,1.52,4.1,5030,9.654493,2.43,5.869,
HD 181342 b,non-habitable,922.03,1.84,4.6,5014,11.998938,2.711,6.552,
HD 181433 b,non-habitable,7.57,0.78,0.75,4962,0.301261,0.431,1.043,
HD 181433 c,non-habitable,203.48,0.78,0.75,4962,0.301261,0.431,1.043,
HD 181433 d,non-habitable,171.69,0.78,0.75,4962,0.301261,0.431,1.043,
HD 181720 b,non-habitable,3853.43,0.92,1.4,5781,1.960542,1.051,2.475,
HD 183263 b,non-habitable,1166.84,1.17,1.21,5888,1.578817,0.937,2.201,
HD 183263 c,non-habitable,1214.53,1.17,1.21,5888,1.578817,0.937,2.201,
HD 185269 b,non-habitable,298.86,1.28,1.88,5980,4.055181,1.493,3.499,
HD 187085 b,non-habitable,238.46,1.22,1.37,6075,2.280546,1.113,2.604,
HD 187123 b,non-habitable,165.33,1.06,1.17,5714,1.30925,0.862,2.034,
HD 187123 c,non-habitable,632.7,1.06,1.17,5714,1.30925,0.862,2.034,
HD 188015 b,non-habitable,400.6,1.09,1.1,5520,1.007933,0.765,1.816,
HD 189567 b,non-habitable,10.05,0.87,0.96,5940,1.018466,0.75,1.76,
HD 189733 b,non-habitable,,0.8,0.81,4875,0.328383,0.451,1.097,
HD 190228 b,non-habitable,20888.66,1.3,3.02,5176,5.873281,1.882,4.519,
HD 190360 b,non-habitable,475.32,1.04,1.2,5588,1.259731,0.852,2.018,
HD 190360 c,non-habitable,20.29,1.04,1.2,5588,1.259731,0.852,2.018,
HD 190647 b,non-habitable,604.09,1.1,1.49,5628,1.976963,1.065,2.519,
HD 190984 b,non-habitable,985.61,0.91,1.53,5988,2.700225,1.218,2.854,
HD 191806 b,non-habitable,2708.85,1.14,1.21,6010,1.68896,0.962,2.253,
HD 192263 b,non-habitable,233.05,0.81,0.75,4965,0.306683,0.434,1.052,
HD 192699 b,non-habitable,794.85,1.68,4.25,5220,12.032329,2.687,6.443,
HD 195019 b,non-habitable,1176.38,1.06,1.38,5787,1.916293,1.038,2.446,
HD 195689 b,non-habitable,,,,10170,,,,
HD 196050 b,non-habitable,899.77,1.17,1.29,5874,1.777482,0.995,2.338,
HD 196067 b,non-habitable,2193.79,1.28,2.45,5940,6.680477,1.921,4.507,
HD 196885 A b,non-habitable,947.46,1.33,1.79,6340,4.644649,1.563,3.638,
HD 197037 b,non-habitable,251.17,1.11,1.14,6150,1.648268,0.942,2.2,
