P. Name,P. Composition Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
HIP 5158 b,gas,non-habitable,457.83,457.83,10.86
HIP 5158 c,gas,non-habitable,4781.82,4781.82,11.27
HIP 8541 b,gas,non-habitable,1777.28,1777.28,11.68
HIP 11915 b,gas,non-habitable,314.76,314.76,10.25
HIP 12961 b,gas,non-habitable,111.28,111.28,8.04
HIP 14810 b,gas,non-habitable,1233.61,1233.61,11.65
HIP 14810 c,gas,non-habitable,406.96,406.96,10.69
HIP 14810 d,gas,non-habitable,181.23,181.23,9.13
HIP 41378 b,gas,non-habitable,,4.8,2.91
HIP 41378 c,gas,non-habitable,,3.15,2.55
HIP 41378 d,gas,non-habitable,,12.3,3.95
HIP 41378 e,gas,non-habitable,,33.25,5.51
HIP 41378 f,gas,non-habitable,,304.86,10.19
HIP 57050 b,gas,non-habitable,94.75,94.75,7.67
HIP 57050 c,,non-habitable,21639,21639,
HIP 57274 b,gas,non-habitable,11.45,11.45,3.86
HIP 57274 c,gas,non-habitable,130.36,130.36,8.4
HIP 57274 d,gas,non-habitable,167.55,167.55,8.96
HIP 63242 b,gas,non-habitable,2918.69,2918.69,11.61
HIP 64892 b,gas,non-habitable,10492.02,10492.02,10.13
HIP 65407 b,gas,non-habitable,136.08,136.08,8.49
HIP 65407 c,gas,non-habitable,249.26,249.26,9.8
HIP 65426 b,gas,non-habitable,,2861.46,16.8
HIP 65891 b,gas,non-habitable,1907.64,1907.64,11.68
HIP 67537 b,gas,non-habitable,3529.13,3529.13,11.51
HIP 67851 b,gas,non-habitable,438.76,438.76,10.8
HIP 67851 c,gas,non-habitable,1901.28,1901.28,11.68
HIP 68468 b,rocky-iron,non-habitable,3.5,3.5,1.5
HIP 68468 c,gas,non-habitable,29.89,29.89,5.32
HIP 70849 b,gas,non-habitable,2861.46,2861.46,11.61
HIP 73990 b,gas,non-habitable,6676.74,6676.74,10.87
HIP 73990 c,gas,non-habitable,6994.68,6994.68,10.81
HIP 74865 b,gas,non-habitable,8902.32,8902.32,10.42
HIP 74890 b,gas,non-habitable,763.06,763.06,11.42
HIP 75458 b,gas,non-habitable,2985.46,2985.46,11.6
HIP 77900 b,gas,non-habitable,6358.8,6358.8,10.94
HIP 78530 b,gas,non-habitable,7325.34,7325.34,10.74
HIP 79431 b,gas,non-habitable,667.67,667.67,11.31
HIP 91258 b,gas,non-habitable,339.56,339.56,10.39
HIP 97233 b,gas,non-habitable,6358.8,6358.8,10.94
HIP 105854 b,gas,non-habitable,2607.11,2607.11,11.64
HIP 107773 b,gas,non-habitable,629.52,629.52,11.25
HIP 109384 b,gas,non-habitable,495.99,495.99,10.97
HIP 109600 b,gas,non-habitable,852.08,852.08,11.5
HIP 116454 b,rocky-water,non-habitable,11.8,11.83,2.53
HN Peg b,gas,non-habitable,,5087.04,12.32
HR 810 b,gas,non-habitable,718.54,718.54,11.37
HR 2562 b,gas,non-habitable,9538.2,9538.2,10.3
HR 3549 b,gas,non-habitable,14307.3,14307.3,9.5
HR 7329 b,gas,non-habitable,11127.9,11127.9,10.01
HR 8799 b,gas,non-habitable,,2225.58,13.44
HR 8799 c,gas,non-habitable,,3179.4,14.56
HR 8799 d,gas,non-habitable,,3179.4,13.44
HR 8799 e,gas,non-habitable,2861.46,2861.46,11.61
HU Aqr(AB) c,gas,non-habitable,1875.85,1875.85,11.68
HW Vir(AB) b,gas,non-habitable,4546.54,4546.54,11.32
J1324+63 b,gas,non-habitable,,3656.31,13.78
J1433 b,gas,non-habitable,18154.38,18154.37,8.99
K2-3 b,rocky-iron,non-habitable,,14.66,2.18
K2-3 c,rocky-iron,non-habitable,,7.59,1.85
K2-3 d,rocky-iron,non-habitable,,11.1,1.53
K2-4 b,rocky-iron,non-habitable,,21.07,2.37
K2-5 b,rocky-iron,non-habitable,,8.59,1.91
K2-5 c,rocky-iron,non-habitable,,17.1,2.26
K2-6 b,rocky-iron,non-habitable,,26.93,2.5
K2-7 b,gas,non-habitable,,3.64,2.67
K2-8 b,gas,non-habitable,,9.1,3.58
K2-8 c,rocky-iron,non-habitable,,22.72,2.41
K2-10 b,water-gas,non-habitable,,27,3.84
K2-11 b,gas,non-habitable,,89.63,7.55
K2-12 b,rocky-iron,non-habitable,,19.53,2.33
K2-13 b,rocky-iron,non-habitable,,8.24,1.89
K2-14 b,gas,non-habitable,,22.12,4.81
K2-15 b,rocky-iron,non-habitable,,25.93,2.48
K2-16 b,rocky-iron,non-habitable,,10.72,2.02
K2-16 c,gas,non-habitable,,3.09,2.54
K2-17 b,rocky-iron,non-habitable,,16.14,2.23
K2-18 b,rocky-iron,mesoplanet,,16.46,2.24
K2-18 c,rocky-iron,non-habitable,7.5,7.5,1.84
K2-19 b,gas,non-habitable,,97.56,7.74
K2-19 c,gas,non-habitable,,22.81,4.86
K2-19 d,rocky-iron,non-habitable,,1.35,1.14
K2-21 b,rocky-iron,non-habitable,,4.31,1.59
K2-21 c,rocky-iron,non-habitable,,8.77,1.92
K2-22 b,rocky-iron,non-habitable,,444.96,2.5
K2-24 b,gas,non-habitable,,39.44,5.83
K2-24 c,gas,non-habitable,,114.42,8.1
K2-25 b,gas,non-habitable,,7.99,3.43
K2-26 b,gas,non-habitable,,3.64,2.67
K2-27 b,gas,non-habitable,,29.1,4.45
K2-28 b,rocky-iron,non-habitable,,19.17,2.32
K2-29 b,gas,non-habitable,,232.02,13.34
K2-30 b,gas,non-habitable,,184.02,11.65
K2-31 b,gas,non-habitable,590.1,590.1,11.18
K2-32 b,gas,non-habitable,,30.94,5.38
K2-32 c,gas,non-habitable,,8.35,3.48
K2-32 d,gas,non-habitable,,10.48,3.75
K2-33 b,water-gas,non-habitable,,1175.97,5.04
K2-34 b,gas,non-habitable,,559.38,15.13
K2-35 b,rocky-iron,non-habitable,,2.73,1.4
K2-35 c,rocky-iron,non-habitable,,12.31,2.09
K2-36 b,rocky-iron,non-habitable,,2.22,1.32
K2-36 c,gas,non-habitable,,4.24,2.8
K2-37 b,rocky-iron,non-habitable,,4.51,1.61
K2-37 c,gas,non-habitable,,4,2.75
K2-37 d,gas,non-habitable,,3.91,2.73
K2-38 b,rocky-iron,non-habitable,,12,1.55
K2-38 c,rocky-water,non-habitable,,9.9,2.42
K2-39 b,gas,non-habitable,,50.3,8.2
K2-42 b,rocky-iron,non-habitable,,13.84,2.15
K2-43 b,gas,non-habitable,,14.02,4.13
K2-44 b,gas,non-habitable,,3.86,2.72
K2-45 b,gas,non-habitable,,60.99,6.71
K2-46 b,rocky-iron,non-habitable,,11.38,2.05
K2-47 b,rocky-iron,non-habitable,,8.24,1.89
K2-48 b,rocky-iron,non-habitable,,16.46,2.24
K2-49 b,rocky-iron,non-habitable,,8.95,1.93
K2-50 b,rocky-iron,non-habitable,,4.31,1.59
K2-51 b,,non-habitable,,,12.9
K2-52 b,gas,non-habitable,,550.17,11.1
K2-53 b,rocky-iron,non-habitable,,26.93,2.5
K2-54 b,rocky-iron,non-habitable,,1.39,1.15
K2-55 b,gas,non-habitable,,11.08,3.82
K2-57 b,rocky-iron,non-habitable,,12.55,2.1
K2-58 b,gas,non-habitable,,3.68,2.68
K2-58 c,rocky-iron,non-habitable,,4.61,1.62
K2-58 d,rocky-iron,non-habitable,,5.63,1.71
K2-59 b,rocky-iron,non-habitable,,22.72,2.41
K2-59 c,rocky-iron,non-habitable,,18.45,2.3
K2-60 b,gas,non-habitable,,261.74,9.9
K2-61 b,rocky-iron,non-habitable,,25.93,2.48
K2-62 b,rocky-iron,non-habitable,,13.57,2.14
K2-62 c,rocky-iron,non-habitable,,13.57,2.14
K2-63 b,gas,non-habitable,,6.57,3.22
K2-64 b,rocky-iron,non-habitable,,11.84,2.07
K2-65 b,rocky-iron,non-habitable,,4.21,1.58
K2-66 b,rocky-iron,non-habitable,,26.43,2.49
K2-67 b,,non-habitable,,,17.4
K2-68 b,rocky-iron,non-habitable,,4.21,1.58
K2-69 b,rocky-iron,non-habitable,,19.17,2.32
K2-70 b,gas,non-habitable,,4.68,2.89
K2-71 b,rocky-iron,non-habitable,,13.84,2.15
K2-72 b,rocky-iron,non-habitable,,2.05,1.29
K2-72 c,rocky-iron,non-habitable,,3.17,1.46
K2-72 d,rocky-iron,non-habitable,,1.84,1.25
K2-72 e,rocky-iron,mesoplanet,,2.73,1.4
K2-73 b,rocky-iron,non-habitable,,24.51,2.45
K2-74 b,rocky-iron,non-habitable,,18.8,2.31
K2-75 b,gas,non-habitable,,3.64,2.67
K2-75 c,gas,non-habitable,,4.09,2.77
K2-76 b,gas,non-habitable,,550.17,11.1
K2-77 b,rocky-iron,non-habitable,,25.45,2.47
K2-78 b,rocky-iron,non-habitable,,2.87,1.42
K2-79 b,gas,non-habitable,,9.98,3.69
K2-80 b,rocky-iron,non-habitable,,10.51,2.01
K2-80 c,rocky-iron,non-habitable,,3.24,1.47
K2-81 b,rocky-iron,non-habitable,,7.13,1.82
K2-82 b,gas,non-habitable,,3.34,2.6
K2-83 b,rocky-iron,non-habitable,,1.81,1.24
K2-83 c,rocky-iron,non-habitable,,3.35,1.48
K2-84 b,rocky-iron,non-habitable,,22.72,2.41
K2-84 c,rocky-iron,non-habitable,,10.94,2.03
K2-85 b,rocky-iron,non-habitable,,0.9,1.01
K2-86 b,rocky-iron,non-habitable,,9.51,1.96
K2-87 b,gas,non-habitable,,19.36,4.6
K2-88 b,rocky-iron,non-habitable,,1.74,1.23
K2-89 b,rocky-iron,non-habitable,,0.18,0.61
K2-90 b,rocky-iron,non-habitable,,11.16,2.04
K2-90 c,rocky-iron,non-habitable,,0.93,1.02
K2-91 b,rocky-iron,non-habitable,,1.19,1.1
K2-92 b,gas,non-habitable,,3.17,2.56
K2-95 b,rocky-water,non-habitable,375.45,530.96,3.7
K2-97 b,gas,non-habitable,,349.73,14.67
K2-99 b,gas,non-habitable,,308.4,14.45
K2-105 b,water-gas,non-habitable,,29.89,3.58
K2-106 b,rocky-iron,non-habitable,,8.36,1.52
K2-106 c,water-gas,non-habitable,,5.72,2.46
K2-108 b,gas,non-habitable,,59.45,5.28
K2-110 b,rocky-water,non-habitable,11.51,16.69,2.59
K2-136 b,rocky-iron,non-habitable,,0.83,0.99
K2-136 c,gas,non-habitable,,5.22,2.99
K2-136 d,,non-habitable,,,16.24
K2-137 b,iron,non-habitable,,222.56,0.88
K2-138 b,rocky-iron,non-habitable,,4.09,1.57
K2-138 c,gas,non-habitable,,3.02,2.52
K2-138 d,gas,non-habitable,,3.57,2.65
K2-138 e,gas,non-habitable,,7.04,3.29
K2-138 f,gas,non-habitable,,4.29,2.81
K2-139 b,gas,non-habitable,,121.14,9.09
K2-141 b,rocky-iron,non-habitable,,5.09,1.51
K2-141 c,gas,non-habitable,,7.31,6.94
K2-216 b,rocky-iron,non-habitable,,7.92,1.8
kappa And b,gas,non-habitable,,4451.16,13.44
kappa CrB b,gas,non-habitable,508.7,508.7,11
Kapteyn b,rocky-iron,psychroplanet,4.8,4.8,1.64
Kapteyn c,rocky-iron,non-habitable,7,7,1.81
KELT-1 b,gas,non-habitable,8657.51,8705.2,12.5
KELT-2 A b,gas,non-habitable,351.49,472.46,14.63
KELT-3 b,gas,non-habitable,345.36,450.84,14.93
KELT-4 A b,gas,non-habitable,242.17,281.06,19.11
KELT-6 b,gas,non-habitable,,140.53,13.22
KELT-6 c,gas,non-habitable,1179.56,1179.56,11.64
KELT-7 b,gas,non-habitable,,410.14,17.17
KELT-8 b,gas,non-habitable,277.74,277.88,20.83
KELT-10 b,gas,non-habitable,,215.88,15.67
KELT-11 b,gas,non-habitable,,62,15.34
KELT-15 b,gas,non-habitable,,292.5,16.16
KELT-16 b,gas,non-habitable,,874.34,15.85
KELT-17 b,gas,non-habitable,,416.5,17.08
KELT-18 b,gas,non-habitable,,375.17,17.58
KELT-19 A b,gas,non-habitable,,1294.02,21.39
KELT-20 b,gas,non-habitable,,1118.51,19.43
KELT-21 b,gas,non-habitable,,1243.15,17.76
Kepler-4 b,water-gas,non-habitable,,26.21,4
Kepler-5 b,gas,non-habitable,,672.13,16.03
Kepler-6 b,gas,non-habitable,212.61,212.7,14.82
Kepler-7 b,gas,non-habitable,118,137.67,18.08
Kepler-8 b,gas,non-habitable,,191.72,15.89
Kepler-9 b,gas,non-habitable,,45.12,11.09
Kepler-9 c,gas,non-habitable,,31.01,10.69
Kepler-9 d,rocky-water,non-habitable,5.24,5.25,2
Kepler-10 b,rocky-iron,non-habitable,3.33,3.33,1.47
Kepler-10 c,rocky-iron,non-habitable,,19.19,2.32
Kepler-11 b,water-gas,non-habitable,1.9,1.9,1.8
Kepler-11 c,gas,non-habitable,2.39,2.9,2.87
Kepler-11 d,gas,non-habitable,,7.3,3.12
Kepler-11 e,gas,non-habitable,,9.54,4.19
Kepler-11 f,gas,non-habitable,,2,2.49
Kepler-11 g,gas,non-habitable,,9.79,3.67
Kepler-12 b,gas,non-habitable,136.63,137.03,18.98
Kepler-13 A b,gas,non-habitable,2098.4,2098.4,15.75
Kepler-14 b,gas,non-habitable,2667.2,2670.7,12.72
Kepler-15 b,gas,non-habitable,209.84,209.84,10.75
Kepler-16(AB) b,gas,non-habitable,105.7,105.87,8.44
Kepler-17 b,gas,non-habitable,776.56,778.95,14.69
Kepler-18 b,rocky-water,non-habitable,6.84,6.87,2
Kepler-18 c,gas,non-habitable,17.19,17.21,5.48
Kepler-18 d,gas,non-habitable,16.28,16.31,6.96
Kepler-19 b,rocky-iron,non-habitable,,15.76,2.22
Kepler-19 c,gas,non-habitable,13.1,13.1,4.04
Kepler-19 d,gas,non-habitable,22.51,22.51,4.84
Kepler-20 b,rocky-iron,non-habitable,9.7,9.7,1.87
Kepler-20 c,water-gas,non-habitable,,12.76,3.04
Kepler-20 d,gas,non-habitable,,3.96,2.74
Kepler-20 e,rocky-iron,non-habitable,,0.54,0.86
Kepler-20 f,rocky-iron,non-habitable,,0.87,1
Kepler-20 g,gas,non-habitable,19.97,19.97,4.65
Kepler-21 b,rocky-iron,non-habitable,,4.79,1.64
Kepler-22 b,rocky-iron,mesoplanet,,20.36,2.35
Kepler-23 b,rocky-iron,non-habitable,,5.42,1.69
Kepler-23 c,gas,non-habitable,,5.92,3.11
Kepler-23 d,rocky-iron,non-habitable,17.37,17.49,2.23
Kepler-24 b,rocky-iron,non-habitable,,20.36,2.35
Kepler-24 c,gas,non-habitable,,4.24,2.8
Kepler-25 b,gas,non-habitable,,3.77,2.7
Kepler-25 c,gas,non-habitable,,27.13,5.15
Kepler-25 d,gas,non-habitable,89.93,89.93,7.56
Kepler-26 b,gas,non-habitable,,4.13,2.78
Kepler-26 c,gas,non-habitable,,3.87,2.72
Kepler-26 e,rocky-iron,non-habitable,,22.64,2.41
Kepler-27 b,gas,non-habitable,,13.05,4.03
Kepler-27 c,gas,non-habitable,,23.78,4.93
Kepler-28 b,gas,non-habitable,,9.13,3.58
Kepler-28 c,gas,non-habitable,,7.49,3.36
Kepler-29 b,gas,non-habitable,,7.42,3.35
Kepler-29 c,gas,non-habitable,,6.05,3.14
Kepler-30 b,gas,non-habitable,,11.98,3.92
Kepler-30 c,,non-habitable,,,12.32
Kepler-30 d,gas,non-habitable,,159.45,8.85
Kepler-31 b,gas,non-habitable,,15.34,4.26
Kepler-31 c,gas,non-habitable,,15.34,4.26
Kepler-31 d,gas,non-habitable,,18.84,4.56
Kepler-32 b,gas,non-habitable,,14.16,4.14
Kepler-32 c,gas,non-habitable,,10.03,3.7
Kepler-33 b,rocky-iron,non-habitable,,6.72,1.79
Kepler-33 c,gas,non-habitable,,6.75,3.25
Kepler-33 d,gas,non-habitable,,30.87,5.38
Kepler-33 e,gas,non-habitable,,13.05,4.03
Kepler-33 f,gas,non-habitable,,17.89,4.48
Kepler-34(AB)  b,gas,non-habitable,,69.92,8.55
Kepler-35(AB) b,gas,non-habitable,40.03,40.31,8.15
Kepler-36 b,rocky-iron,non-habitable,4.46,4.46,1.48
Kepler-36 c,gas,non-habitable,8.07,8.08,3.68
Kepler-37 b,rocky-iron,non-habitable,,0.02,0.32
Kepler-37 c,rocky-iron,non-habitable,,0.34,0.75
Kepler-37 d,rocky-iron,non-habitable,,9.1,1.94
Kepler-38(AB) b,water-gas,non-habitable,120.81,120.82,4.37
Kepler-39 b,gas,non-habitable,,5722.92,13.66
Kepler-40 b,gas,non-habitable,699.31,699.47,13.1
Kepler-41  b,gas,non-habitable,155.74,155.79,9.42
Kepler-42 b,rocky-iron,non-habitable,,0.39,0.78
Kepler-42 c,rocky-iron,non-habitable,,0.31,0.73
Kepler-42 d,rocky-iron,non-habitable,,0.14,0.57
Kepler-43 b,gas,non-habitable,1016.7,1026.95,13.44
Kepler-44 b,gas,non-habitable,323.91,324.3,13.89
Kepler-45 b,gas,non-habitable,154.03,160.56,10.75
Kepler-46 b,gas,non-habitable,,178.24,9.09
Kepler-46 c,gas,non-habitable,115.09,115.09,8.11
Kepler-47(AB) b,gas,non-habitable,,5.4,3.02
Kepler-47(AB) c,gas,non-habitable,,19.26,4.59
Kepler-48 b,rocky-iron,non-habitable,,8.1,1.88
Kepler-48 c,rocky-water,non-habitable,14.56,14.62,2.71
Kepler-48 d,rocky-water,non-habitable,7.95,7.95,2.04
Kepler-48 e,gas,non-habitable,657.18,657.18,11.29
Kepler-49 b,gas,non-habitable,,3.72,2.69
Kepler-49 c,gas,non-habitable,,3.24,2.58
Kepler-49 d,rocky-iron,non-habitable,,4.42,1.6
Kepler-49 e,rocky-iron,non-habitable,,3.99,1.56
Kepler-50 b,rocky-iron,non-habitable,31.77,31.79,2.24
Kepler-50 c,rocky-water,non-habitable,34.96,34.97,2.8
Kepler-51 b,gas,non-habitable,2.09,2.1,7.09
Kepler-51 c,gas,non-habitable,4,4,8.99
Kepler-52 b,rocky-iron,non-habitable,,13.26,2.13
Kepler-52 c,rocky-iron,non-habitable,,6.72,1.79
Kepler-52 d,rocky-iron,non-habitable,,9.29,1.95
Kepler-53 b,gas,non-habitable,,4.8,2.91
Kepler-53 c,gas,non-habitable,5001.14,5007.56,3.14
Kepler-53 d,rocky-iron,non-habitable,,12.97,2.12
Kepler-54 b,rocky-iron,non-habitable,,13.26,2.13
Kepler-54 c,rocky-iron,non-habitable,,1.75,1.23
Kepler-54 d,rocky-iron,non-habitable,,3.69,1.52
Kepler-55 b,rocky-iron,non-habitable,,25.16,2.46
Kepler-55 c,rocky-iron,non-habitable,,16.46,2.24
Kepler-55 d,rocky-iron,non-habitable,,4.31,1.59
Kepler-55 e,rocky-iron,non-habitable,,3.88,1.55
Kepler-55 f,rocky-iron,non-habitable,,4.31,1.59
Kepler-56 b,gas,non-habitable,22.12,22.26,6.5
Kepler-56 c,gas,non-habitable,180.68,180.91,9.86
Kepler-56 d,gas,non-habitable,1783.64,1783.64,11.68
Kepler-57 b,rocky-iron,non-habitable,,16.46,2.24
Kepler-57 c,iron,non-habitable,2209.11,2209.68,1.57
Kepler-58 b,rocky-iron,non-habitable,441.2,441.94,2.8
Kepler-58 c,rocky-iron,non-habitable,695.4,696.29,2.91
Kepler-58 d,gas,non-habitable,,4.92,2.93
Kepler-59 b,iron,non-habitable,651.05,651.78,1.1
Kepler-59 c,iron,non-habitable,434.52,435.58,2.02
Kepler-60 b,rocky-water,non-habitable,4.18,4.19,1.71
Kepler-60 c,rocky-water,non-habitable,3.85,3.85,1.9
Kepler-60 d,rocky-water,non-habitable,4.16,4.17,1.99
Kepler-61 b,rocky-iron,mesoplanet,,13.85,2.15
Kepler-62 b,rocky-iron,non-habitable,,2.17,1.31
Kepler-62 c,rocky-iron,non-habitable,,0.12,0.54
Kepler-62 d,rocky-iron,non-habitable,,9.29,1.95
Kepler-62 e,rocky-iron,mesoplanet,,4.54,1.61
Kepler-62 f,rocky-iron,psychroplanet,,2.81,1.41
Kepler-63 b,gas,non-habitable,,45.39,6.1
Kepler-64(AB) b,gas,non-habitable,168.43,168.51,6.19
Kepler-65 b,rocky-iron,non-habitable,,2.78,1.41
Kepler-65 c,rocky-iron,non-habitable,26.69,26.71,2.57
Kepler-65 d,rocky-iron,non-habitable,,3.53,1.51
Kepler-66 b,gas,non-habitable,,4.24,2.8
Kepler-67 b,gas,non-habitable,,4.8,2.91
Kepler-68 b,rocky-water,non-habitable,5.96,5.98,2.31
Kepler-68 c,rocky-iron,non-habitable,,0.67,0.93
Kepler-68 d,gas,non-habitable,267.07,267.07,9.94
Kepler-69 b,rocky-iron,non-habitable,,16.11,2.23
Kepler-69 c,rocky-iron,non-habitable,,5.68,1.71
Kepler-70  b,rocky-iron,non-habitable,0.45,0.45,0.76
Kepler-70 c,rocky-iron,non-habitable,0.67,0.67,0.87
Kepler-71 b,,non-habitable,,,11.71
Kepler-74 b,gas,non-habitable,,216.2,14.78
Kepler-75 b,gas,non-habitable,3145.29,3147.61,11.54
Kepler-76 b,gas,non-habitable,621.24,623.16,14
Kepler-77 b,gas,non-habitable,,136.71,10.75
Kepler-78 b,rocky-iron,non-habitable,,1.6,1.2
Kepler-79 b,gas,non-habitable,10.86,10.9,3.47
Kepler-79 c,gas,non-habitable,5.89,5.9,3.72
Kepler-79 d,gas,non-habitable,5.99,6,7.17
Kepler-79 e,gas,non-habitable,4.08,4.1,3.49
Kepler-80 b,rocky-water,non-habitable,6.93,6.93,2.35
Kepler-80 c,water-gas,non-habitable,6.73,6.74,2.58
Kepler-80 d,rocky-iron,non-habitable,6.73,6.74,1.4
Kepler-80 e,rocky-iron,non-habitable,4.13,4.13,1.5
Kepler-80 f,rocky-iron,non-habitable,,1.75,1.23
kepler-80 g,rocky-iron,non-habitable,,1.31,1.13
Kepler-81 b,gas,non-habitable,,3.1,2.54
Kepler-81 c,rocky-iron,non-habitable,,24.53,2.45
Kepler-81 d,rocky-iron,non-habitable,,1.65,1.21
Kepler-82 b,gas,non-habitable,,13.82,4.11
Kepler-82 c,gas,non-habitable,,35.55,5.63
Kepler-82 d,rocky-iron,non-habitable,,6.4,1.77
Kepler-82 e,rocky-iron,non-habitable,,25.16,2.46
Kepler-83 b,rocky-iron,non-habitable,,19.94,2.34
Kepler-83 c,rocky-iron,non-habitable,,9.15,1.94
Kepler-83 d,rocky-iron,non-habitable,,9.09,1.94
Kepler-84 b,rocky-iron,non-habitable,,15.26,2.2
Kepler-84 c,rocky-iron,non-habitable,,22.35,2.4
Kepler-84 d,rocky-iron,non-habitable,,2.58,1.38
Kepler-84 e,gas,non-habitable,,3.33,2.6
Kepler-84 f,rocky-iron,non-habitable,,15.1,2.2
Kepler-85 b,rocky-iron,non-habitable,14.77,14.78,1.99
Kepler-85 c,rocky-iron,non-habitable,18.58,18.76,2.21
Kepler-85 d,rocky-iron,non-habitable,,1.59,1.2
Kepler-85 e,rocky-iron,non-habitable,,1.92,1.27
Kepler-86 b,gas,non-habitable,,295.83,10.14
Kepler-87 b,gas,non-habitable,324.15,324.3,13.55
Kepler-87 c,gas,non-habitable,6.36,6.39,6.15
Kepler-88 b,gas,non-habitable,8.68,8.7,3.78
Kepler-88 c,gas,non-habitable,199.31,199.31,9.34
Kepler-89 b,rocky-iron,non-habitable,10.49,10.49,1.71
Kepler-89 c,gas,non-habitable,15.53,15.58,4.32
Kepler-89 d,gas,non-habitable,52.08,52.14,10.98
Kepler-89 e,gas,non-habitable,,13.04,6.16
Kepler-90 b,rocky-iron,non-habitable,,2.17,1.31
Kepler-90 c,rocky-iron,non-habitable,,1.54,1.19
Kepler-90 d,gas,non-habitable,,4.62,2.88
Kepler-90 e,gas,non-habitable,,3.62,2.67
Kepler-90 f,gas,non-habitable,,4.68,2.89
Kepler-90 g,gas,non-habitable,,115.43,8.12
Kepler-90 h,gas,non-habitable,,671.8,11.31
Kepler-90 i,rocky-iron,non-habitable,,2.23,1.32
Kepler-91 b,gas,non-habitable,232.02,232.1,15.5
Kepler-92 b,rocky-water,non-habitable,60.09,60.09,3.65
Kepler-92 c,water-gas,non-habitable,5.69,5.69,2.45
Kepler-92 d,rocky-iron,non-habitable,,11.73,2.07
Kepler-93 b,rocky-iron,non-habitable,4,4.01,1.48
Kepler-94 b,gas,non-habitable,10.84,10.84,3.51
Kepler-94 c,gas,non-habitable,3127.26,3127.26,11.58
Kepler-95 b,water-gas,non-habitable,13.01,13.04,3.42
Kepler-96 b,water-gas,non-habitable,8.58,8.58,2.67
Kepler-100 b,iron,non-habitable,7.34,7.34,1.3
Kepler-100 c,gas,non-habitable,0.85,0.86,2.22
Kepler-100 d,rocky-water,non-habitable,2.99,2.99,1.51
Kepler-101 b,gas,non-habitable,,40.25,5.87
Kepler-101 c,rocky-iron,non-habitable,,2.3,1.33
Kepler-102 b,iron,non-habitable,0.41,0.41,0.47
Kepler-102 c,iron,non-habitable,2.86,2.86,0.58
Kepler-102 d,rocky-iron,non-habitable,2.59,2.61,1.16
Kepler-102 e,rocky-water,non-habitable,8.93,8.93,2.22
Kepler-102 f,rocky-iron,non-habitable,0.63,0.64,0.88
Kepler-103 b,gas,non-habitable,9.84,9.86,3.47
Kepler-103 c,gas,non-habitable,36.2,36.25,5.31
Kepler-104 b,gas,non-habitable,,5.85,3.1
Kepler-104 c,gas,non-habitable,,5.99,3.12
Kepler-104 d,gas,non-habitable,,9.05,3.57
Kepler-105 c,rocky-iron,non-habitable,4.43,4.45,1.31
Kepler-106 b,water-gas,non-habitable,0.15,0.15,0.82
Kepler-106 c,rocky-water,non-habitable,10.32,10.44,2.5
Kepler-106 d,iron,non-habitable,7.93,7.95,0.95
Kepler-106 e,rocky-water,non-habitable,11.16,11.17,2.55
Kepler-107 b,rocky-iron,non-habitable,,4.2,1.58
Kepler-107 c,rocky-iron,non-habitable,,5.08,1.66
Kepler-107 d,rocky-iron,non-habitable,,1.06,1.06
Kepler-107 e,gas,non-habitable,,4.86,2.92
Kepler-108 b,gas,non-habitable,,220.66,9.55
Kepler-108 c,gas,non-habitable,,120.69,8.22
Kepler-109 b,gas,non-habitable,1.3,1.3,2.34
Kepler-109 c,gas,non-habitable,2.22,2.22,2.63
Kepler-110 b,rocky-iron,non-habitable,,7.21,1.83
Kepler-110 c,rocky-iron,non-habitable,,15.43,2.21
Kepler-111 b,rocky-iron,non-habitable,,4.2,1.58
Kepler-111 c,gas,non-habitable,,79.78,7.29
Kepler-112 b,rocky-iron,non-habitable,,20.8,2.36
Kepler-112 c,rocky-iron,non-habitable,,22.16,2.4
Kepler-113 b,rocky-iron,non-habitable,11.67,11.7,1.81
Kepler-113 c,rocky-water,non-habitable,8.58,8.58,2.17
Kepler-114 b,iron,non-habitable,6.99,7,1.18
Kepler-114 c,iron,non-habitable,39.86,40.01,1.6
Kepler-114 d,water-gas,non-habitable,4.79,4.8,2.53
Kepler-115 b,rocky-iron,non-habitable,,1.14,1.09
Kepler-115 c,gas,non-habitable,,3.33,2.6
Kepler-116 b,gas,non-habitable,,7.89,3.42
Kepler-116 c,rocky-iron,non-habitable,,18.31,2.3
Kepler-117 b,gas,non-habitable,,100.48,7.81
Kepler-117 c,gas,non-habitable,,656.11,11.29
Kepler-118 b,rocky-iron,non-habitable,,9.51,1.96
Kepler-118 c,gas,non-habitable,,94.65,7.67
Kepler-119 b,gas,non-habitable,,9.22,3.6
Kepler-119 c,rocky-iron,non-habitable,,0.66,0.92
Kepler-120 b,rocky-iron,non-habitable,,13.85,2.15
Kepler-120 c,rocky-iron,non-habitable,,3.69,1.52
Kepler-121 b,rocky-iron,non-habitable,,19.94,2.34
Kepler-121 c,rocky-iron,non-habitable,,17.55,2.27
Kepler-122 b,rocky-iron,non-habitable,,19.94,2.34
Kepler-122 c,gas,non-habitable,,40.25,5.87
Kepler-122 d,rocky-iron,non-habitable,,15.1,2.2
Kepler-122 e,gas,non-habitable,,3.33,2.6
Kepler-123 b,gas,non-habitable,,4.92,2.93
