hab_lbl,P. Composition Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
0,3,18.21791367,4.79,1.64
0,3,18.21791367,5.42,1.69
0,3,17.37,17.49,2.23
0,3,18.21791367,20.36,2.35
0,3,18.21791367,22.64,2.41
0,3,18.21791367,6.72,1.79
0,3,4.46,4.46,1.48
0,3,18.21791367,0.02,0.32
0,3,18.21791367,0.34,0.75
0,3,18.21791367,9.1,1.94
0,3,18.21791367,0.39,0.78
0,3,18.21791367,0.31,0.73
0,3,18.21791367,0.14,0.57
0,3,18.21791367,8.1,1.88
0,3,18.21791367,4.42,1.6
0,3,18.21791367,3.99,1.56
0,3,31.77,31.79,2.24
0,3,18.21791367,13.26,2.13
0,3,18.21791367,6.72,1.79
0,3,18.21791367,9.29,1.95
0,3,18.21791367,12.97,2.12
0,3,18.21791367,13.26,2.13
0,3,18.21791367,1.75,1.23
0,3,18.21791367,3.69,1.52
0,3,18.21791367,25.16,2.46
0,3,18.21791367,16.46,2.24
0,3,18.21791367,4.31,1.59
0,3,18.21791367,3.88,1.55
0,3,18.21791367,4.31,1.59
0,3,18.21791367,16.46,2.24
0,3,441.2,441.94,2.8
0,3,695.4,696.29,2.91
0,3,18.21791367,2.17,1.31
0,3,18.21791367,0.12,0.54
0,3,18.21791367,9.29,1.95
0,3,18.21791367,2.78,1.41
0,3,26.69,26.71,2.57
0,3,18.21791367,3.53,1.51
0,3,18.21791367,0.67,0.93
0,3,18.21791367,16.11,2.23
0,3,18.21791367,5.68,1.71
0,3,0.45,0.45,0.76
0,3,0.67,0.67,0.87
0,3,18.21791367,1.6,1.2
0,3,6.73,6.74,1.4
0,3,4.13,4.13,1.5
0,3,18.21791367,1.75,1.23
0,3,18.21791367,1.31,1.13
0,3,18.21791367,24.53,2.45
0,3,18.21791367,1.65,1.21
0,3,18.21791367,6.4,1.77
0,3,18.21791367,25.16,2.46
0,3,18.21791367,19.94,2.34
0,3,18.21791367,9.15,1.94
0,3,18.21791367,9.09,1.94
