hab_lbl,P. Radius (EU),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. Hab Zone Min (AU),S. Hab Zone Max (AU)
0,1.5,1.05,1.08,5857,1.215506,0.823,1.936
0,2.18,0.61,0.55,3900,0.063474,0.205,0.521
0,1.85,0.61,0.55,3900,0.063474,0.205,0.521
0,1.53,0.61,0.55,3900,0.063474,0.205,0.521
0,2.37,0.63,0.6,4197,0.100219,0.256,0.641
0,1.91,0.61,0.57,3930,0.069536,0.214,0.544
0,2.26,0.61,0.57,3930,0.069536,0.214,0.544
0,2.5,0.97,0.96,5850,0.968402,0.735,1.729
0,2.41,0.78,0.74,4870,0.276356,0.414,1.007
0,2.33,1.01,1.01,5800,1.035725,0.763,1.796
0,1.89,0.8,0.78,5698,0.575399,0.572,1.351
0,2.48,0.72,0.68,5131,0.287552,0.417,1.004
0,2.02,0.68,0.66,4742,0.197617,0.352,0.861
0,2.23,0.71,0.66,4320,0.136117,0.297,0.739
0,1.84,0.41,0.39,3503,0.020972,0.118,0.307
0,1.14,0.93,0.86,5430,0.576881,0.582,1.385
0,1.59,0.64,0.6,4043,0.086299,0.238,0.601
0,1.92,0.64,0.6,4043,0.086299,0.238,0.601
0,2.5,0.6,0.57,3830,0.062724,0.204,0.52
0,2.32,0.26,0.29,3214,0.008051,0.074,0.194
0,1.4,0.76,0.72,4680,0.22312,0.375,0.919
0,2.09,0.76,0.72,4680,0.22312,0.375,0.919
0,1.32,0.8,0.74,4924,0.288819,0.422,1.025
0,1.61,0.9,0.85,5413,0.556519,0.572,1.362
0,1.55,1.07,1.1,5757,1.192505,0.821,1.934
0,2.15,0.7,0.64,4613,0.166412,0.325,0.799
0,2.05,0.96,1.29,6256,2.286947,1.102,2.569
0,1.89,0.75,0.76,5054,0.33811,0.454,1.096
0,2.24,0.77,0.73,4899,0.275401,0.413,1.003
0,1.93,0.51,0.45,4175,0.0552,0.19,0.476
0,1.59,0.61,0.55,4326,0.095052,0.248,0.618
0,2.5,0.83,0.85,5269,0.499621,0.546,1.307
0,1.15,0.42,0.38,3798,0.026957,0.134,0.342
0,2.1,0.68,0.62,4434,0.133308,0.293,0.725
0,1.62,0.89,0.86,5413,0.56969,0.579,1.378
0,1.71,0.89,0.86,5413,0.56969,0.579,1.378
0,2.41,0.77,0.73,5055,0.312191,0.436,1.053
0,2.3,0.77,0.73,5055,0.312191,0.436,1.053
0,2.48,1.21,1.36,6293,2.602548,1.173,2.733
0,2.14,0.77,0.73,4880,0.271153,0.41,0.996
0,2.14,0.77,0.73,4880,0.271153,0.41,0.996
0,2.07,0.74,0.73,5312,0.380687,0.476,1.137
0,1.58,0.87,0.84,5213,0.467519,0.53,1.271
0,2.49,1.16,1.71,5958,3.305856,1.35,3.166
0,1.58,0.73,0.68,4746,0.210484,0.363,0.888
0,2.32,0.55,0.49,4127,0.062491,0.202,0.508
0,2.15,0.48,0.43,4006,0.042724,0.168,0.424
0,1.29,0.41,0.4,3497,0.021468,0.12,0.311
0,1.46,0.41,0.4,3497,0.021468,0.12,0.311
0,1.25,0.41,0.4,3497,0.021468,0.12,0.311
0,2.45,1.05,1.06,5922,1.239867,0.828,1.945
0,2.31,0.96,0.98,6060,1.162071,0.795,1.861
0,2.47,0.87,0.83,5297,0.486593,0.538,1.287
0,1.42,0.9,0.88,5729,0.748463,0.651,1.536
0,2.01,0.9,0.87,5441,0.595173,0.59,1.405
0,1.47,0.9,0.87,5441,0.595173,0.59,1.405
0,1.82,0.7,0.63,4530,0.149956,0.309,0.763
0,1.24,0.48,0.42,3910,0.036991,0.156,0.397
0,1.48,0.48,0.42,3910,0.036991,0.156,0.397
0,2.41,0.95,0.93,5652,0.791889,0.673,1.591
0,2.03,0.95,0.93,5652,0.791889,0.673,1.591
0,1.01,0.57,0.51,4268,0.077433,0.224,0.56
0,1.96,0.79,0.76,5482,0.468029,0.522,1.241
0,1.23,0.26,0.26,3537,0.009492,0.08,0.206
0,0.61,0.35,0.32,3691,0.017052,0.107,0.274
0,2.04,0.56,0.49,4136,0.063038,0.203,0.51
0,1.02,0.56,0.49,4136,0.063038,0.203,0.51
0,1.1,0.29,0.28,3622,0.012106,0.09,0.232
0,1.52,0.93,0.83,5814,0.70623,0.629,1.481
0,0.99,0.74,0.66,4499,0.160119,0.32,0.791
0,1.57,0.93,0.86,5378,0.555098,0.572,1.365
0,1.51,0.71,0.68,4599,0.186139,0.344,0.846
0,1.8,0.7,0.72,4503,0.191233,0.35,0.864
0,1.81,0.28,0.29,3550,0.011984,0.089,0.232
0,1.47,0.91,1.06,5708,1.080252,0.783,1.849
0,2.32,0.91,1.06,5708,1.080252,0.783,1.849
0,2.22,0.94,0.85,5541,0.611055,0.595,1.411
0,1.87,0.91,0.94,5466,0.713694,0.646,1.535
0,0.86,0.91,0.94,5466,0.713694,0.646,1.535
