hab_lbl,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU)
0,18.21791367,14.66,2.18,10.73361,10.73361,10.73361
0,18.21791367,7.59,1.85,3.243119,3.24312,3.243121
0,18.21791367,11.1,1.53,1.335845,1.460192,1.599422
0,18.21791367,21.07,2.37,16.59993,16.59993,16.59993
0,18.21791367,8.59,1.91,24.56894,24.56894,24.56894
0,18.21791367,17.1,2.26,10.39209,10.39209,10.3921
0,18.21791367,26.93,2.5,26.88211,26.88211,26.88212
0,18.21791367,22.72,2.41,97.64405,97.64406,97.64407
0,18.21791367,19.53,2.33,161.0259,161.0259,161.026
0,18.21791367,8.24,1.89,12.87534,12.87535,12.87535
0,18.21791367,25.93,2.48,34.72425,34.72426,34.72426
0,18.21791367,10.72,2.02,44.41935,44.41935,44.41936
0,18.21791367,16.14,2.23,9.612109,9.61211,9.612112
0,7.5,7.5,1.84,2.696779,6.600012,20.73903
0,18.21791367,1.35,1.14,487.4937,487.4939,487.494
0,18.21791367,4.31,1.59,16.15,16.15,16.15
0,18.21791367,8.77,1.92,8.198086,8.198087,8.198089
0,18.21791367,444.96,2.5,809.9706,809.9708,809.9709
0,18.21791367,19.17,2.32,17.58092,17.58092,17.58093
0,18.21791367,2.73,1.4,217.8905,217.8905,217.8905
0,18.21791367,12.31,2.09,70.14229,70.1423,70.1423
0,18.21791367,2.22,1.32,545.9712,545.9713,545.9714
0,18.21791367,4.51,1.61,213.1267,213.1267,213.1268
0,18.21791367,12,1.55,465.7567,465.7567,465.7568
0,18.21791367,13.84,2.15,43.71326,43.71327,43.71328
0,18.21791367,11.38,2.05,119.7229,119.7229,119.7229
0,18.21791367,8.24,1.89,10.68332,10.68332,10.68332
0,18.21791367,16.46,2.24,15.24638,15.24638,15.24638
0,18.21791367,8.95,1.93,57.81276,57.81276,57.81277
0,18.21791367,4.31,1.59,19.12419,19.12419,19.1242
0,18.21791367,26.93,2.5,52.55707,52.55709,52.55709
0,18.21791367,1.39,1.15,5.98731,5.98731,5.987311
0,18.21791367,12.55,2.1,23.95402,23.95402,23.95402
0,18.21791367,4.61,1.62,465.0533,465.0533,465.0534
0,18.21791367,5.63,1.71,24.75527,24.75527,24.75527
0,18.21791367,22.72,2.41,17.02875,17.02875,17.02875
0,18.21791367,18.45,2.3,38.11737,38.11738,38.11738
0,18.21791367,25.93,2.48,1693.661,1693.661,1693.661
0,18.21791367,13.57,2.14,67.03484,67.03485,67.03486
0,18.21791367,13.57,2.14,20.57458,20.57459,20.57459
0,18.21791367,11.84,2.07,99.35426,99.35427,99.35429
0,18.21791367,4.21,1.58,45.46983,45.46984,45.46984
0,18.21791367,26.43,2.49,897.5314,897.5314,897.5316
0,18.21791367,4.21,1.58,41.99059,41.9906,41.9906
0,18.21791367,19.17,2.32,17.89142,17.89142,17.89143
0,18.21791367,13.84,2.15,13.67247,13.67247,13.67247
0,18.21791367,2.05,1.29,10.32291,10.32291,10.32291
0,18.21791367,3.17,1.46,2.714836,2.714837,2.714837
0,18.21791367,1.84,1.25,6.646127,6.646128,6.646129
0,18.21791367,24.51,2.45,213.5892,213.5892,213.5892
0,18.21791367,18.8,2.31,59.12028,59.12028,59.1203
0,18.21791367,25.45,2.47,84.24393,84.24393,84.24394
0,18.21791367,2.87,1.42,695.7012,695.7014,695.7015
0,18.21791367,10.51,2.01,32.65696,32.65696,32.65696
0,18.21791367,3.24,1.47,167.5524,167.5524,167.5524
0,18.21791367,7.13,1.82,44.7308,44.7308,44.7308
0,18.21791367,1.81,1.24,40.72011,40.72012,40.72012
0,18.21791367,3.35,1.48,7.274356,7.274358,7.274359
0,18.21791367,22.72,2.41,179.0692,179.0693,179.0693
0,18.21791367,10.94,2.03,25.33377,25.33377,25.33377
0,18.21791367,0.9,1.01,485.4239,485.4239,485.424
0,18.21791367,9.51,1.96,78.939,78.93901,78.93903
0,18.21791367,1.74,1.23,7.975144,7.975145,7.975147
0,18.21791367,0.18,0.61,79.77581,79.77581,79.77582
0,18.21791367,11.16,2.04,7.351604,7.351605,7.351606
0,18.21791367,0.93,1.02,58.59444,58.59445,58.59446
0,18.21791367,1.19,1.1,45.0103,45.01031,45.01032
0,18.21791367,8.36,1.52,5248.438,5248.438,5248.438
0,18.21791367,0.83,0.99,26.51716,32.24446,39.60843
0,18.21791367,4.09,1.57,485.8883,485.8884,485.8884
0,18.21791367,5.09,1.51,3336.174,3336.174,3336.175
0,18.21791367,7.92,1.8,243.9196,243.9196,243.9196
0,7,7,1.81,0.08191247,0.1273154,0.2089763
0,3.33,3.33,1.47,3386.399,3811.608,4305.954
0,18.21791367,19.19,2.32,16.8707,18.62234,20.60837
0,18.21791367,15.76,2.22,67.43002,85.1907,109.2137
0,9.7,9.7,1.87,313.8258,333.0779,353.84
0,18.21791367,0.54,0.86,174.7876,174.7876,174.7876
0,18.21791367,0.87,1,36.62194,36.62195,36.62196
0,18.21791367,4.79,1.64,2310.168,2403.933,2502.553
0,18.21791367,5.42,1.69,361.0418,406.3756,459.0804
0,17.37,17.49,2.23,127.2356,148.8737,175.3267
0,18.21791367,20.36,2.35,181.6308,181.6308,181.6308
0,18.21791367,22.64,2.41,2.646053,2.646054,2.646054
0,18.21791367,6.72,1.79,787.8446,787.8447,787.8447
0,4.46,4.46,1.48,225.3489,225.3489,225.349
0,18.21791367,0.02,0.32,45.53074,45.53074,45.53075
0,18.21791367,0.34,0.75,24.47566,24.47566,24.47566
0,18.21791367,9.1,1.94,10.62801,10.62801,10.62801
0,18.21791367,0.39,0.78,17.07234,17.07234,17.07234
0,18.21791367,0.31,0.73,63.81261,63.81263,63.81264
0,18.21791367,0.14,0.57,9.686517,9.686517,9.686519
0,18.21791367,8.1,1.88,182.8136,182.8136,182.8136
0,18.21791367,4.42,1.6,65.4078,65.40781,65.40781
0,18.21791367,3.99,1.56,4.671291,4.671292,4.671293
0,31.77,31.79,2.24,490.991,490.9911,490.9912
0,18.21791367,13.26,2.13,16.81195,16.81195,16.81195
0,18.21791367,6.72,1.79,6.331841,6.331841,6.331842
0,18.21791367,9.29,1.95,2.019594,2.019595,2.019595
0,18.21791367,12.97,2.12,101.0612,101.0612,101.0612
0,18.21791367,13.26,2.13,10.7896,10.7896,10.7896
0,18.21791367,1.75,1.23,6.245363,6.245363,6.245365
0,18.21791367,3.69,1.52,2.662205,2.662206,2.662206
0,18.21791367,25.16,2.46,4.628122,4.628123,4.628124
0,18.21791367,16.46,2.24,2.675812,2.675812,2.675812
0,18.21791367,4.31,1.59,129.9249,129.925,129.925
0,18.21791367,3.88,1.55,47.42485,47.42486,47.42487
0,18.21791367,4.31,1.59,16.65399,16.654,16.654
0,18.21791367,16.46,2.24,96.65,96.65001,96.65002
0,441.2,441.94,2.8,135.2354,135.2354,135.2354
0,695.4,696.29,2.91,77.1022,77.10221,77.10222
0,18.21791367,2.17,1.31,65.44549,65.4455,65.44551
0,18.21791367,0.12,0.54,23.18988,23.18989,23.18989
0,18.21791367,9.29,1.95,13.89849,13.89849,13.89849
0,18.21791367,2.78,1.41,2050.423,2133.645,2221.177
0,26.69,26.71,2.57,484.5498,566.9539,667.6945
0,18.21791367,3.53,1.51,306.1026,372.2162,457.2226
0,18.21791367,0.67,0.93,94.37095,209.6183,565.4962
0,18.21791367,16.11,2.23,65.95454,89.89426,125.7598
0,18.21791367,5.68,1.71,1.473127,1.933279,2.588208
0,0.45,0.45,0.76,607265.9,607266,607266.1
0,0.67,0.67,0.87,378489.8,378489.9,378489.9
0,18.21791367,1.6,1.2,3295.21,3295.21,3295.211
0,6.73,6.74,1.4,123.7097,123.7097,123.7098
0,4.13,4.13,1.5,71.32323,71.32324,71.32324
0,18.21791367,1.75,1.23,562.8943,562.8945,562.8945
0,18.21791367,1.31,1.13,8.133963,8.133963,8.133965
0,18.21791367,24.53,2.45,14.06757,14.06757,14.06758
0,18.21791367,1.65,1.21,6.801102,6.801102,6.801103
0,18.21791367,6.4,1.77,663.6153,663.6154,663.6154
0,18.21791367,25.16,2.46,193.2827,193.2828,193.2828
0,18.21791367,19.94,2.34,12.88015,12.88015,12.88015
0,18.21791367,9.15,1.94,4.93593,4.935931,4.935932
0,18.21791367,9.09,1.94,30.12796,30.12797,30.12797
0,18.21791367,15.26,2.2,182.6236,182.6236,182.6236
0,18.21791367,22.35,2.4,107.8613,107.8613,107.8613
0,18.21791367,2.58,1.38,465.2714,465.2715,465.2715
0,18.21791367,15.1,2.2,20.1295,20.1295,20.12951
0,14.77,14.78,1.99,104.7829,104.783,104.783
0,18.58,18.76,2.21,60.68494,60.68495,60.68496
0,18.21791367,1.59,1.2,38.60717,38.60717,38.60718
0,18.21791367,1.92,1.27,24.55723,24.55724,24.55724
0,10.49,10.49,1.71,1377.021,1377.021,1377.021
0,18.21791367,2.17,1.31,291.7477,291.7478,291.7479
0,18.21791367,1.54,1.19,201.693,201.6931,201.6931
0,18.21791367,2.23,1.32,39.94027,39.94027,39.94028
0,18.21791367,11.73,2.07,34.85522,40.00123,46.13609
0,4,4.01,1.48,278.6089,278.6089,278.609
0,18.21791367,2.3,1.33,520.8656,520.8656,520.8657
0,2.59,2.61,1.16,37.12103,37.12103,37.12104
0,0.63,0.64,0.88,10.18048,10.18048,10.18048
0,4.43,4.45,1.31,277.0645,277.0645,277.0645
0,18.21791367,4.2,1.58,1037.89,1080.016,1124.323
0,18.21791367,5.08,1.66,577.2351,600.6637,625.3057
0,18.21791367,1.06,1.06,239.2571,313.9926,420.3625
0,18.21791367,7.21,1.83,130.7684,130.7685,130.7685
0,18.21791367,15.43,2.21,38.18916,38.18917,38.18917
0,18.21791367,4.2,1.58,716.0473,716.0474,716.0475
0,18.21791367,20.8,2.36,103.5414,103.5414,103.5414
0,18.21791367,22.16,2.4,20.2155,20.2155,20.2155
0,11.67,11.7,1.81,84.27971,84.27973,84.27974
0,18.21791367,1.14,1.09,1295.298,1295.299,1295.299
0,18.21791367,18.31,2.3,199.5028,199.5029,199.5029
0,18.21791367,9.51,1.96,154.7596,154.7596,154.7596
0,18.21791367,0.66,0.92,258.3786,258.3786,258.3787
0,18.21791367,13.85,2.15,23.4507,23.45071,23.45071
0,18.21791367,3.69,1.52,9.160431,9.160433,9.160435
0,18.21791367,19.94,2.34,229.9651,229.9651,229.9651
0,18.21791367,17.55,2.27,7.496932,7.496932,7.496933
0,18.21791367,19.94,2.34,436.7884,436.7884,436.7885
0,18.21791367,15.1,2.2,74.46765,74.46765,74.46767
0,18.21791367,3.31,1.48,59.76649,59.7665,59.7665
0,18.21791367,0.31,0.73,149.0846,149.0846,149.0846
0,18.21791367,6.1,1.75,22.67576,22.67576,22.67577
0,18.21791367,1.23,1.11,7.846285,7.846285,7.846286
0,18.21791367,20.8,2.36,29.25246,29.25246,29.25246
0,18.21791367,0.32,0.74,18.90557,18.90557,18.90557
0,18.21791367,3,1.44,224.0878,257.1721,296.6137
0,18.21791367,3.46,1.5,67.66645,97.58473,146.0251
0,18.21791367,3.69,1.52,68.34081,167.2551,525.5611
0,18.21791367,21.75,2.39,54.35923,57.69398,61.29026
0,18.21791367,22.59,2.41,152.7917,155.8691,159.0259
0,18.21791367,0.8,0.98,166.3967,222.5487,304.5408
0,18.21791367,2.17,1.31,2.98335,16.07256,241.5432
0,18.21791367,1.65,1.21,361.3912,361.3912,361.3913
0,18.21791367,1.98,1.28,350.8402,350.8402,350.8403
0,18.21791367,3.88,1.55,87.71005,87.71006,87.71007
0,18.21791367,1.49,1.18,932.1921178,936.314307,943.1535689
0,18.21791367,6.25,1.76,288.2984,288.2984,288.2985
0,18.21791367,10.17,1.99,444.6593,444.6593,444.6594
0,18.21791367,1.86,1.25,189.1273,189.1273,189.1273
0,18.21791367,6.88,1.8,443.4215,443.4215,443.4216
0,18.21791367,1.4,1.15,187.6255,187.6255,187.6256
0,18.21791367,11.37,2.05,210.2219,210.2219,210.222
0,18.21791367,10.17,1.99,133.5323,133.5323,133.5324
0,18.21791367,3.22,1.47,70.10569,70.10571,70.10571
0,18.21791367,8.1,1.88,24.59507,24.59507,24.59507
0,18.21791367,4.54,1.61,1005.544,1005.544,1005.545
0,18.21791367,6.88,1.8,11.88025,11.88025,11.88025
0,18.21791367,0.27,0.69,213.964,213.964,213.9641
0,18.21791367,2.81,1.41,72.49706,72.49706,72.49708
0,18.21791367,10.17,1.99,1588.223,1588.223,1588.224
0,18.21791367,14.15,2.16,27.77031,27.77032,27.77032
0,18.21791367,22.64,2.41,120.3344,120.3344,120.3344
0,18.21791367,2.3,1.33,431.3505,431.3506,431.3507
0,18.21791367,2.37,1.34,212.6486,212.6486,212.6487
0,36.97,37.1,2.55,70.65758,159.991,444.5796
0,18.21791367,3.69,1.52,198.3552,198.3552,198.3552
0,18.21791367,23.62,2.43,54.28664,54.28664,54.28665
0,18.21791367,6.88,1.8,638.7241,638.7241,638.7242
0,18.21791367,4.54,1.61,8.597583,8.597584,8.597586
0,18.21791367,1.86,1.25,391.3265,391.3266,391.3267
0,18.21791367,12.15,2.08,21.45737,21.45738,21.45738
0,18.21791367,21.7,2.39,2.459479,2.45948,2.45948
0,18.21791367,17.18,2.26,23.9888,23.9888,23.98881
0,18.21791367,3.49,1.5,427.6901,427.6902,427.6902
0,18.21791367,3.49,1.5,124.5705,124.5705,124.5705
0,18.21791367,12.15,2.08,45.4185,45.41851,45.41851
0,18.21791367,16.46,2.24,2.432081,2.432082,2.432082
0,18.21791367,18.31,2.3,135.9277,135.9277,135.9277
0,18.21791367,2.23,1.32,1375.775,1375.775,1375.776
0,18.21791367,16.46,2.24,89.14114,89.14114,89.14116
0,18.21791367,3.14,1.46,932.1921178,936.314307,943.1535689
0,18.21791367,12.97,2.12,12.78565,12.78565,12.78565
0,18.21791367,8.48,1.9,6.310366,6.310367,6.310368
0,18.21791367,21.25,2.37,26.59481,26.59481,26.59482
0,18.21791367,3.78,1.53,327.0515,327.0515,327.0515
0,18.21791367,12.97,2.12,134.228,134.228,134.228
0,18.21791367,11.37,2.05,84.64725,84.64725,84.64726
0,18.21791367,1.86,1.25,198.7155,198.7155,198.7155
0,18.21791367,1.03,1.05,138.9265,138.9265,138.9265
0,18.21791367,17.18,2.26,36.58365,36.58365,36.58366
0,18.21791367,2.81,1.41,423.9364,423.9365,423.9365
0,18.21791367,24.64,2.45,40.78246,40.78247,40.78247
0,18.21791367,19.11,2.32,75.66422,75.66423,75.66424
0,18.21791367,16.11,2.23,32.4168,32.41681,32.41681
0,18.21791367,17.55,2.27,81.36549,81.36551,81.36552
0,18.21791367,21.25,2.37,11.09267,11.09267,11.09267
0,18.21791367,5.82,1.72,932.1921178,936.314307,943.1535689
0,18.21791367,3.05,1.44,100.9532,100.9532,100.9532
0,18.21791367,2.51,1.37,50.30194,50.30195,50.30195
0,1.9,1.91,1.19,11.78284,11.78284,11.78284
0,18.21791367,3.14,1.46,548.9737,548.9738,548.9738
0,18.21791367,1.31,1.13,201.9456,201.9456,201.9456
0,18.21791367,1.65,1.21,84.05643,84.05643,84.05646
0,18.21791367,1.86,1.25,57.4423,57.4423,57.44231
0,18.21791367,15.1,2.2,29.30729,29.3073,29.3073
0,18.21791367,19.94,2.34,256.5905,256.5905,256.5906
0,18.21791367,8.29,1.89,12.89944,12.89944,12.89944
0,18.21791367,20.36,2.35,609.9031,609.9031,609.9033
0,18.21791367,16.81,2.25,70.08366,70.08367,70.08368
0,18.21791367,2.04,1.29,464.956,464.9561,464.9561
0,18.21791367,23.62,2.43,195.6279,195.6279,195.628
0,18.21791367,9.51,1.96,19.55926,19.55926,19.55927
0,18.21791367,3.4,1.49,4.270954,4.270955,4.270956
0,18.21791367,2.97,1.43,158.3014,158.3014,158.3015
0,18.21791367,3.05,1.44,932.1921178,936.314307,943.1535689
0,18.21791367,4.77,1.64,315.9882,315.9883,315.9883
0,18.21791367,10.17,1.99,99.98065,99.98065,99.98067
0,18.21791367,3.49,1.5,91.53142,91.53143,91.53144
